ID;Origen;Modulo;Capacidad;Fuente;Condicion_o_solicitud;Resultado_esperado;Casos_E2E;Estado_objetivo;Evidencia_objetivo
DAS-03;B;Dashboard;Situación de las órdenes;"src/App.jsx:573-574;598";existen órdenes en distintos estados y fechas requeridas;Se muestran conteos de órdenes activas y atrasadas, destacando atraso según fecha y estado operativo.;E2E-32;Pendiente de verificar;
DAS-04;B;Dashboard;Situación de cartera;"src/App.jsx:575-576;598";existen AR pendientes con vencimientos diversos;Se muestran CxC pendiente y CxC vencida en MXN a partir de saldos, no del valor original de documentos ya pagados.;E2E-32;Pendiente de verificar;
DAS-05;B;Dashboard;Rendimiento del pipeline;"src/App.jsx:577-581;600-610";hay RFQ con fecha de registro, envío y decisión;Se muestran conversión aprobadas/total, tiempo medio de respuesta, proporción respondida dentro de 24 h y referencia de meta de 80%.;E2E-32;Pendiente de verificar;
DAS-06;B;Dashboard;Seguimientos y distribución del gasto;"src/App.jsx:585-596;612-620";hay RFQ enviadas cuyo seguimiento vence hoy y gastos categorizados;Se muestra el aviso de seguimientos pendientes y la distribución mensual por categoría con importes y proporciones.;E2E-32;Pendiente de verificar;
CLI-01;B;Clientes;Alta y edición del cliente;"src/App.jsx:625-630;728-753";se crea o modifica una ficha;"Se conserva nombre comercial, razón social, RFC, contacto, email, teléfono, condiciones de pago, estado, límite de crédito y tier manual con fecha; el nombre comercial es requerido.";E2E-03;Pendiente de verificar;
CLI-02;B;Clientes;Búsqueda y filtros;"src/App.jsx:631-680;732";se busca por nombre comercial o razón social y se combinan filtros;"Se puede consultar por tier, estado y condición de pago, ver cantidad de resultados y limpiar filtros. El filtro presenta activo/inactivo/prospecto; el formulario de este ZIP solo expone activo/inactivo.";E2E-03;Pendiente de verificar;
CLI-03;B;Clientes;Listado y acceso a historial;src/App.jsx:676-726;se selecciona un cliente desde nombre o botón Historial;Se muestran datos principales, cantidad de órdenes, tier, consumo, crédito y un historial vinculado al cliente seleccionado.;E2E-03;Pendiente de verificar;
CLI-04;B;Clientes;Disponibilidad de crédito;"src/App.jsx:120;683-700;713";un cliente tiene límite definido y documentos pendientes;"Se informa crédito utilizado, disponible y porcentaje; se distinguen niveles menores de 80%, desde 80% y desde 100%. Sin límite definido se muestra ausencia de límite calculado.";E2E-03;Pendiente de verificar;
CLI-05;B;Clientes;Tier automático por consumo;"src/App.jsx:361-387;683-714";se consulta un cliente con órdenes entregadas de los últimos tres meses;Se obtiene el tier por consumo elegible y se muestran descuento, consumo acumulado, siguiente tier, importe faltante y progreso hacia él.;E2E-04;Pendiente de verificar;
CLI-06;B;Clientes;Tier inicial temporal;"src/App.jsx:371-381;735-751";se asigna un tier manual y su fecha de inicio;"Se informa vigencia de 90 días; mientras está vigente se toma el descuento más beneficioso entre manual y automático; vencida la vigencia se evalúa el consumo real.";E2E-04;Pendiente de verificar;
CLI-07;B;Clientes;Historial de órdenes;src/App.jsx:715-726;se abre el historial;"Se listan órdenes del cliente con área, fecha y estado, ordenadas por aprobación; no se atribuye al ZIP un historial navegable completo de cotizaciones ni un portal externo de clientes.";E2E-14;Pendiente de verificar;
CLI-08;B;Clientes;Repetición de un trabajo;"src/App.jsx:631;717-723";se selecciona Repetir en una orden histórica;"Se puede reutilizar información comercial/técnica para un nuevo trabajo y reconocer su nuevo identificador. En el objetivo, reiniciar avances, sesiones, pagos y documentos propios de la ejecución anterior; el canal de creación se ajusta a OBS-15.";E2E-14;Pendiente de verificar;
RFQ-01;B;Pipeline y cotizaciones;Cotización multilínea;"src/App.jsx:979;1267-1437";se registra una solicitud comercial;"Se capturan cliente, contacto, PO, prioridad, moneda, condiciones, fecha requerida, horas estimadas, responsable, seguimiento, estado, notas, archivos y varias líneas; una línea contiene descripción, material, espesor, cantidad, precio unitario, área y procesos.";E2E-05;Pendiente de verificar;
RFQ-02;B;Pipeline y cotizaciones;Alta rápida de cliente;"src/App.jsx:1053;1283-1285;1440-1444";el cliente no existe al cotizar;"Desde el modal comercial se abre Nuevo cliente, se captura nombre comercial, razón social, RFC, contacto, teléfono y condición de pago; al guardar queda en Clientes y seleccionado en la cotización sin perderla.";E2E-05;Pendiente de verificar;
RFQ-03;B;Pipeline y cotizaciones;Condiciones y descuento del cliente;"src/App.jsx:1270-1305;1372-1393";se selecciona un cliente con condiciones y tier;"Se heredan las condiciones de pago y se muestra su tier; el descuento se representa como una línea identificable, se puede quitar y afecta los totales. Recalcularlo al cambiar la base comercial.";E2E-05;Pendiente de verificar;
RFQ-04;B;Pipeline y cotizaciones;Gestión de líneas;"src/App.jsx:1011-1016;1357-1426";se agrega, modifica o retira una línea;"Se actualizan cantidad, precio y subtotal; se permite más de una solicitud en la misma cotización y se conserva al menos una línea comercial editable.";E2E-05;Pendiente de verificar;
RFQ-05;B;Pipeline y cotizaciones;Áreas y procesos por línea;"src/App.jsx:1076-1105;1339-1355;1395-1417";se cotizan piezas de distintos departamentos;"Cada línea puede tener área y varios procesos; una misma orden resultante puede involucrar varias áreas; se distingue la secuencia seleccionada y se excluyen líneas de descuento de las partidas fabricables.";E2E-07;Pendiente de verificar;
RFQ-06;B;Pipeline y cotizaciones;Trabajo externo;"src/App.jsx:1089-1090;1385-1387;1415-1417";se elige un área marcada EXT;"La línea identifica su condición externa, procesos y proveedor externo de texto; esos datos acompañan la partida generada. No equivale a un módulo completo de proveedores/compras.";E2E-07;Pendiente de verificar;
RFQ-07;B;Pipeline y cotizaciones;Estados comerciales;"src/App.jsx:1009;1156-1157;1234-1260;1308";se guarda o edita una cotización;"Se reconocen pendiente, enviada, aprobada y rechazada; prioridad normal/media/alta y etiquetas son dimensiones separadas del estado de producción.";E2E-06;Pendiente de verificar;
RFQ-08;B;Pipeline y cotizaciones;Fechas de envío y seguimiento;"src/App.jsx:1009;1239-1240;1256;1323;1337";una cotización pasa por primera vez a enviada sin fecha de envío;"Se propone envío de hoy, seguimiento a tres días hábiles y vencimiento a diez días hábiles; las fechas pueden consultarse y editarse.";E2E-06;Pendiente de verificar;
RFQ-09;B;Pipeline y cotizaciones;Identificación de trabajos internos;"src/App.jsx:1040;1103-1114;1311-1321";se activa Orden interna;"Se diferencia el trabajo interno TI, se genera folio con prefijo TI y se preserva esa condición al crear la orden; no se genera AR comercial por esa aprobación.";E2E-09;Pendiente de verificar;
RFQ-10;B;Pipeline y cotizaciones;Folio comercial mensual;"src/App.jsx:101-113;1039-1048;1092-1093";se crea una RFQ normal;"Se genera identificador CNCMMYY-NNN a partir de mes/año y secuencia, considerando folios existentes y contador; el folio se comparte como referencia entre cotización y orden.";E2E-07;Pendiente de verificar;
RFQ-11;B;Pipeline y cotizaciones;Moneda e impuesto de cotización;"src/App.jsx:115-118;991-993;1309;1429-1433";se cambia entre MXN y USD o se activa IVA;"Se muestran subtotal, IVA opcional, total en moneda y equivalente MXN para USD. El ZIP contiene IVA 16% en estas operaciones; cualquier tasa objetivo distinta debe registrarse como regla de negocio explícita.";E2E-05;Pendiente de verificar;
RFQ-12;B;Pipeline y cotizaciones;Etiquetas múltiples;"src/App.jsx:1219-1225;1244-1246;1324-1335";se clasifica una RFQ;"Se añaden o quitan varias etiquetas de configuración sin sustituir el estado; se ven en el listado y sirven para filtrar.";E2E-06;Pendiente de verificar;
RFQ-13;B;Pipeline y cotizaciones;Búsqueda y combinación de filtros;"src/App.jsx:1159-1171;1196-1230";se consulta el pipeline;"Se busca por folio o cliente y se filtra por estado, cliente, área, prioridad, etiqueta y período; se muestra número de resultados y acción de limpiar.";E2E-06;Pendiente de verificar;
RFQ-14;B;Pipeline y cotizaciones;Resumen de pipeline;"src/App.jsx:1178-1194;1234-1260";se consulta el módulo;"Se muestran total, aprobadas, conversión, importe pendiente/enviado y conteo/importe por estado; cada fila muestra seguimiento y estado de la orden vinculada.";E2E-06;Pendiente de verificar;
RFQ-15;B;Pipeline y cotizaciones;Aprobación comercial integrada;src/App.jsx:1055-1153;se aprueba una cotización normal;"Se marca aprobada, se genera orden en Aprobado con cliente, líneas, áreas, procesos, metas, horas, PO, notas y adjuntos; se crea AR en borrador con saldo y condiciones. Una repetición de la aprobación debe conservar una sola cadena de documentos.";E2E-07;Pendiente de verificar;
RFQ-16;B;Pipeline y cotizaciones;Autorización por límite de crédito;"src/App.jsx:1144-1153;484-487";se aprueba mediante Aprobar un cliente que ya alcanzó su límite;"Se solicita autorización administrativa antes de continuar; confirmar permite la aprobación, cancelar mantiene la cotización sin aprobar. No inventar en la base un control de crédito proyectado si no está evidenciado.";E2E-08;Pendiente de verificar;
RFQ-17;B;Pipeline y cotizaciones;Edición posterior y aviso a taller;"src/App.jsx:1023-1035;3473-3484;4558-4579";se modifica una RFQ que tiene orden vinculada;"Se conserva folio, se marca cambio comercial y la orden puede aparecer como pendiente de sincronizar; se permite trasladar el cambio mediante la acción de sincronización de Órdenes.";E2E-13;Pendiente de verificar;
RFQ-18;B;Pipeline y cotizaciones;Retiro de cotización sin orden;src/App.jsx:1258-1260;se elimina una RFQ pendiente, enviada o rechazada sin orden asociada;"Se pide confirmación y se retira esa cotización; no se usa el retiro como sustituto de cancelar una orden en curso.";E2E-16;Pendiente de verificar;
RFQ-19;B;Pipeline y cotizaciones;Archivos de solicitud;"src/App.jsx:416-443;1101;1435";se adjuntan uno o varios planos o referencias;"Se ven los nombres, se pueden abrir y quitar del formulario; los archivos acompañan a la orden y pueden ser consultados en Producción.";E2E-12;Pendiente de verificar;
COT-01;B;Cotizador técnico;Cálculo dentro de la cotización;"src/App.jsx:1010-1016;1421;1446;968-970";se abre la calculadora de una línea;"Se abre un modal sin abandonar la RFQ; al confirmar traslada precio unitario, material, espesor y datos de cálculo a esa línea.";E2E-10;Pendiente de verificar;
COT-02;B;Cotizador técnico;Procesos acumulables;"src/App.jsx:320-358;867-877";se seleccionan las estaciones de cotización;Se combinan Corte Láser, Router CNC, Dobladora, Fabricación y Otros/Flete, y el costo total suma las estaciones activas.;E2E-10;Pendiente de verificar;
COT-03;B;Cotizador técnico;Material y cantidad;"src/App.jsx:759-771;801-803;849-865";se configura la pieza;"Se selecciona acero al carbono, acero inoxidable, aluminio u otro; se indica espesor en mm y cantidad; el costo unitario se obtiene del costo total y la cantidad.";E2E-10;Pendiente de verificar;
COT-04;B;Cotizador técnico;Lectura geométrica DXF;"src/App.jsx:177-317;774-786;825-846";se carga o arrastra un DXF interpretable;"Se detectan unidades y se convierten a mm; se presentan dimensiones, perímetro en metros, perforaciones y área rectangular envolvente estimada; perímetro y perforaciones precargan láser y siguen siendo editables.";E2E-10;Pendiente de verificar;
COT-05;B;Cotizador técnico;Compatibilidad de geometrías DXF;src/App.jsx:177-317;se analiza un archivo con geometrías compatibles;"Se reconocen LINE, CIRCLE, ARC, ELLIPSE, LWPOLYLINE, POLYLINE y SPLINE según el lector del adjunto; se diferencian estimaciones de geometría de un cálculo industrial certificado. Unidades previstas: mm, pulgadas, cm, m y pies.";E2E-10;Pendiente de verificar;
COT-06;B;Cotizador técnico;EPS y AI con captura manual;"src/App.jsx:787-799;827-845";se adjunta EPS o AI en el cotizador;"EPS con BoundingBox propone dimensiones; el resto se captura manualmente. AI se trata como diseño adjuntable con parámetros manuales; no se exige lectura automática que el adjunto no ofrece.";E2E-10;Pendiente de verificar;
COT-07;B;Cotizador técnico;Costo de corte láser;"src/App.jsx:324-334;880-896";se elige gas, velocidad, longitud, perforaciones, setup y material;"Se consideran horas de corte, tiempo de perforación por material/espesor, tarifa de máquina, consumo y costo del gas, setup y costo de material; se admiten O2, N2 y aire.";E2E-11;Pendiente de verificar;
COT-08;B;Cotizador técnico;Costo de router;"src/App.jsx:336-340;898-910";se cotiza Router CNC;Se capturan End-mill/Ball-nose, número de fresas, horas de maquinado, setup y costo de material, usando las tarifas configuradas.;E2E-11;Pendiente de verificar;
COT-09;B;Cotizador técnico;Costo de doblado;"src/App.jsx:341-350;912-930";se cotiza Dobladora;"Se capturan complejidad simple/media/compleja, longitud, setup, material y segundo operario; se calcula productividad afectada por longitud y costo adicional del segundo operario.";E2E-11;Pendiente de verificar;
COT-10;B;Cotizador técnico;Fabricación y otros costos;"src/App.jsx:351-358;932-950";se cotizan operaciones de fabricación y logística;"Se capturan horas de mano de obra, soldadura, acabados, materiales, otros/subcontrato, flete y otros costos; soldadura incluye sus consumibles.";E2E-11;Pendiente de verificar;
COT-11;B;Cotizador técnico;Precio y recargo;"src/App.jsx:801-803;952-970";se ajusta el campo llamado Margen %;"Se muestran costo total, costo unitario y precio unitario; el cálculo base es costo unitario por (1 + porcentaje/100), es decir recargo sobre costo. No sustituirlo silenciosamente por margen sobre venta.";E2E-11;Pendiente de verificar;
ORD-01;B;Órdenes;Listado y filtros;src/App.jsx:1589-1705;se consultan órdenes;"Se ve folio, origen RFQ/manual, cliente, área, horas, fecha y estado; se combina búsqueda por ID/cliente/notas con estado, área, cliente, tipo TI/comercial y período; se pueden limpiar filtros.";E2E-15;Pendiente de verificar;
ORD-02;B;Órdenes;Resumen operativo e interno;"src/App.jsx:1583-1588;1620-1632";hay órdenes comerciales e internas;"Se muestran totales, en proceso, atrasadas y entregadas; las TI incluyen conteo mensual, horas dedicadas y trabajos en progreso.";E2E-09;Pendiente de verificar;
ORD-03;B;Órdenes;Detalle integral;src/App.jsx:1793-1869;se hace clic en la fila de una orden;Se abre un modal con cliente, fechas, horas estimadas/reales, eficiencia, sesiones, líneas con importes y adjuntos de entrada, salida y sesiones.;E2E-15;Pendiente de verificar;
ORD-04;B;Órdenes;Alta administrativa base;"src/App.jsx:1516;1527-1543;1616-1617;1919-1940";se registra una orden desde Nueva orden en el ZIP;"Se puede vincular RFQ aprobada o capturar cliente, área, fecha, horas, notas y partidas; se identifica como capacidad antigua que OBS-15 reemplaza por creación comercial centralizada.";E2E-14;Pendiente de verificar;
ORD-05;B;Órdenes;Edición de orden;"src/App.jsx:1527-1543;1688-1698;1919-1964";se abre Editar;Se pueden cambiar RFQ vinculada, cliente, área, procesos, horas estimadas, fecha requerida, estado, notas, partidas y archivos. La versión objetivo debe definir qué campos siguen editables después de iniciar y preservar la ejecución ya registrada.;E2E-15;Pendiente de verificar;
ORD-06;B;Órdenes;Captura de trabajo heredado;"src/App.jsx:1546-1572;1977-2065";se usa Orden manual (migración);"Se captura ID previo único, cliente, monto sin IVA, IVA, condición de pago, referencia externa, área, procesos, fecha, horas, notas, archivos y partes; crea orden en Bandeja y AR borrador sin consumir folio RFQ. Reconciliar esta excepción con OBS-15.";E2E-14;Pendiente de verificar;
ORD-07;B;Órdenes;Partes y metas;"src/App.jsx:1452-1505;1939-1940;2050";se usa el editor de partes;Se agregan/retiran partes, se define número o nombre de parte, descripción, material y cantidad, se seleccionan procesos ordenados y se indica meta de piezas por proceso.;E2E-15;Pendiente de verificar;
ORD-08;B;Órdenes;Sincronización comercial;src/App.jsx:1870-1905;se elige Sincronizar con RFQ y se confirma;"Se actualizan líneas, áreas, procesos, proveedores y archivos de la orden; se preservan identificadores compatibles y avances existentes; se marca sincronizada y deja de mostrar aviso de cambio pendiente.";E2E-13;Pendiente de verificar;
ORD-09;B;Órdenes;Nuevos archivos durante ejecución;"src/App.jsx:1532-1538;1942-1962;3482-3485;4042-4060";se agregan adjuntos a una orden en proceso o pausada;"El operador ve aviso de nuevos archivos y puede marcarlo visto; puede consultar los documentos comerciales y de la orden desde el detalle.";E2E-12;Pendiente de verificar;
ORD-10;B;Órdenes;Eliminación administrativa;"src/App.jsx:1576-1581;1967-1974";se solicita retirar una orden;"Se confirma el retiro y se comprueba si existe AR activo pendiente/borrador; con ese vínculo no procede la eliminación. La versión mejorada puede usar baja lógica equivalente y debe preservar trazabilidad histórica.";E2E-16;Pendiente de verificar;
ORD-11;B;Órdenes;Comparativa de desempeño;src/App.jsx:1708-1792;se abre Comparativa KPI;"Se comparan por orden comercial horas estimadas/reales, eficiencia, puntualidad, sesiones, incidencias contadas como pausas y venta MXN; se muestran totales y promedio.";E2E-32;Pendiente de verificar;
ORD-12;B;Órdenes;Estados y fechas operativas;"src/App.jsx:91-99;1516-1517;1575;1637-1639;1937;3320-3335";se consulta o edita el estado de una orden;"Se distinguen aprobado, bandeja, en_proceso, pausada, lista, entregada y cancelada. Fecha requerida y fecha planeada son datos distintos; existen semánticas de fecha fija/flexible en los datos, sin asumir un selector visible que no se muestra.";E2E-15;Pendiente de verificar;
PRD-01;B;Producción;Tableros de trabajo;"src/App.jsx:3291-3297;3529;3745-3789";el operador abre Producción;"Se presenta saludo/nombre, fecha, contadores de bandeja y urgentes, vistas Kanban, Calendario y Por área; Kanban separa Aprobado, Bandeja, En proceso, Pausada y Lista.";E2E-17;Pendiente de verificar;
PRD-02;B;Producción;Filtrar y agrupar por área;"src/App.jsx:3274-3281;3764-3786;3793-3847";se selecciona un área;"Kanban y calendario consideran las áreas de líneas/partidas; la vista Por área muestra agrupación por procesos y trabajos sin proceso. En la versión objetivo validar visibilidad de todas las partes de órdenes multiárea.";E2E-17;Pendiente de verificar;
PRD-03;B;Producción;Tarjeta de trabajo;src/App.jsx:3465-3526;se ve una orden operativa;"Se muestran cliente, folio, TI si corresponde, áreas, procesos, fecha, horas, semáforo, cantidad de archivos, motivo de pausa, avance y sesiones; al seleccionar se abre su detalle.";E2E-17;Pendiente de verificar;
PRD-04;B;Producción;Preparación e inicio;"src/App.jsx:3299-3318;3338-3360;3517-3520";una orden pasa de Aprobado a Bandeja y luego Iniciar;"Se actualizan estado y contadores; iniciar comprueba que no exista otra orden en proceso con área compartida. El nivel de exclusividad base es área, no cada máquina individual.";E2E-17;Pendiente de verificar;
PRD-05;B;Producción;Pausa motivada;"src/App.jsx:48;3301;3361-3364;4158-4169";se pulsa Pausar;"Se elige falta de información, material pendiente, aprobación de cliente, problema técnico, mantenimiento u otro; confirmar deja Pausada con motivo y libera su fecha planeada.";E2E-18;Pendiente de verificar;
PRD-06;B;Producción;Reanudación con contexto;"src/App.jsx:3521;4082-4131";se reanuda una orden pausada que tiene sesiones;"Se muestra última sesión, operador, horario, avances, notas y motivo; Continuar reanuda aplicando el control de área ocupada y Cancelar conserva la pausa.";E2E-18;Pendiente de verificar;
PRD-07;B;Producción;Sesión de trabajo;"src/App.jsx:3372-3462;4188-4344";se abre Cerrar sesión;"Se capturan hora inicial/final, tipo y detalle de incidente, notas del turno, archivos de avance y piezas; se conservan fecha, operador e identificador de la sesión al guardar.";E2E-18;Pendiente de verificar;
PRD-08;B;Producción;Horas netas;"src/App.jsx:166-175;3882-3911";una sesión cruza el descanso de 12:00 a 13:00;"Las horas netas descuentan solo el solapamiento con esa franja; se acumulan entre sesiones y se muestran contra horas cotizadas, restantes y exceso. Registrar cualquier jornada diferente como regla objetivo.";E2E-19;Pendiente de verificar;
PRD-09;B;Producción;Avances parciales por parte y proceso;"src/App.jsx:128-165;3393;3422-3446;4254-4306";se registran cantidades en varias sesiones;"Se acumulan las piezas por pareja parte/proceso, se ve hecho/meta/pendiente/porcentaje y se determina cuándo todos los procesos llegaron a su meta; contar operaciones no equivale a piezas físicas únicas.";E2E-19;Pendiente de verificar;
PRD-10;B;Producción;Orden heredada sin partes;"src/App.jsx:3372-3391;4209-4253;4329-4340";se trabaja una orden antigua sin items estructurados;"Se ofrece avance global por piezas del día y acumulado; se puede guardar sesión o marcar completa. Cuando las líneas tienen área y procesos, se dispone de generación de partidas para continuar con detalle.";E2E-19;Pendiente de verificar;
PRD-11;C;Producción;Procesos según área del operador;"src/App.jsx:4254-4302;3150-3165";la identidad dispone de un areaId y procesos configurados;El cierre presenta procesos de esa área e informa los pendientes de otros operadores. Es una capacidad condicionada por datos: el formulario de alta de usuarios del ZIP no incorpora la asignación de área.;E2E-20;Pendiente de verificar;
PRD-12;B;Producción;Confirmación documental e identidad;"src/App.jsx:3399-3419;4309-4327";se guarda una sesión;"Se requieren hora de inicio/fin, confirmación de devolución de archivos y PIN; cancelar la confirmación no registra la sesión. Las notas aparecen como campo de turno; no inventar validación obligatoria del ZIP donde solo existe una etiqueta.";E2E-18;Pendiente de verificar;
PRD-13;B;Producción;Cierre parcial y final;"src/App.jsx:3422-3462;3519-3523;3780-3786";se guarda avance incompleto o se completan todas las metas;"El parcial conserva el trabajo abierto y su historial; completar todas las metas mueve a Lista; Lista permite Entregar. Una orden entregada sale de los tableros activos y conserva documentos e historial.";E2E-19;Pendiente de verificar;
PRD-14;B;Producción;Activación de cobranza por fin de trabajo;"src/App.jsx:3303-3313;3448-3456;49";una orden comercial llega a Lista o Entregada;"Su AR borrador pasa a pendiente y recibe vencimiento según contado/15/30/crédito; anticipos registrados se conservan. Separar existencia del AR desde aprobación de exigibilidad al terminar.";E2E-23;Pendiente de verificar;
PRD-15;B;Producción;Reactivación administrativa;"src/App.jsx:3522;4072-4077";el administrador selecciona Reactivar en una orden Lista;"Se permite volver al trabajo operativo preservando sesiones previas; es una acción diferenciada del cierre o entrega y debe reconciliarse con la política financiera objetivo.";E2E-21;Pendiente de verificar;
PRD-16;B;Producción;Detalle técnico para fabricar;src/App.jsx:3851-4007;se abre una tarjeta;"Se consulta qué fabricar, descripción, material, espesor, cantidades, áreas, procesos, notas, progreso por parte, fecha requerida y planeada, sesiones y horas; no se exige al operador reconstruir el pedido por el folio.";E2E-21;Pendiente de verificar;
PRD-17;B;Producción;Historial de sesiones y archivos;src/App.jsx:4009-4067;se consulta el detalle de Producción;"Se ven sesiones con fecha, operador, horario neto, incidentes, avances, notas y adjuntos; se distinguen planos del cliente, archivos de sesión y salida final, con apertura en modo lectura.";E2E-21;Pendiente de verificar;
PRD-18;B;Producción;Bitácora de operaciones;"src/App.jsx:3315-3316;3459-3460;3252-3258;4413-4417";se cambia un estado o se guarda sesión;"Se registra acción, orden, usuario y momento; Configuración expone un historial reciente. El ZIP lo mantiene en datos de sesión; no atribuir persistencia remota de logs como ya demostrada.";E2E-21;Pendiente de verificar;
PLA-01;B;Calendario y planeación;Calendario semanal y mensual;"src/App.jsx:3531-3743;3793-3806";se abre Calendario;"Se puede alternar semana/mes, navegar anterior/siguiente, regresar a hoy y filtrar área; las órdenes muestran su fecha planeada y acceso a detalle.";E2E-22;Pendiente de verificar;
PLA-02;B;Calendario y planeación;Asignar fecha por arrastre;"src/App.jsx:3320-3336;3584-3587;3638-3646;3677-3696";se arrastra una orden sin planear a un día;"Se guarda fechaPlaneada y se muestra en el día; una orden en proceso activo no puede moverse; se conserva la fecha requerida comercial.";E2E-22;Pendiente de verificar;
PLA-03;B;Calendario y planeación;Capacidad diaria base;"src/App.jsx:3294;3327-3335;3564-3579;3594-3627";se distribuyen órdenes con horas estimadas;"Se compara la suma diaria contra una capacidad global de ocho horas por defecto; se muestran horas utilizadas/libres, estimadas/reales y sobrecarga. No atribuir al ZIP una agenda individual por operador o máquina.";E2E-22;Pendiente de verificar;
PLA-04;B;Calendario y planeación;Tratamiento de sobrecarga base;"src/App.jsx:3329-3332;4172-4186";una orden supera la capacidad del día;Se muestra exceso y opciones de siguiente día hábil, asignación como horas extra o cancelar. OBS-19 reemplaza la posibilidad ordinaria de sobreasignación por bloqueo.;E2E-22;Pendiente de verificar;
PLA-05;B;Calendario y planeación;Liberación y trabajos disponibles;"src/App.jsx:3555-3561;3612-3631;3677-3696";hay órdenes pausadas, trabajo en proceso sin fecha o capacidad libre;"Las pausadas aparecen sin planear, el trabajo en proceso sin fecha aparece hoy y se sugieren órdenes que caben en el tiempo libre; se pueden asignar desde la sugerencia.";E2E-22;Pendiente de verificar;
PLA-06;B;Calendario y planeación;Acciones desde calendario;src/App.jsx:3644-3667;se usa una tarjeta semanal;"Se puede consultar detalle y ejecutar Bandeja, Iniciar, Sesión, Pausar, Reanudar, Entregar e imprimir según estado; Reactivar se reserva a administrador.";E2E-22;Pendiente de verificar;
PLA-07;B;Calendario y planeación;Semáforo y vista mensual;"src/App.jsx:91-99;3543-3548;3701-3743";se consulta urgencia o mes;"Se diferencian fechas fijas, en tiempo, próximas y urgentes; el mes presenta resumen por día y acceso al detalle. La vista mensual del ZIP muestra hasta tres folios y un contador adicional, no un planificador horario completo.";E2E-22;Pendiente de verificar;
DOC-01;B;Documentos y adjuntos;Orden de servicio;"src/App.jsx:491-527;1699;1909";se solicita imprimir OS;Se genera documento con empresa, fecha, folio, cliente, razón social/RFC, PO, área/procesos, líneas, material, espesor, cantidad, precios y totales comerciales cuando corresponden.;E2E-23;Pendiente de verificar;
DOC-02;B;Documentos y adjuntos;Nota de entrega;"src/App.jsx:491-527;1700;1910";se solicita la nota;"Se genera documento con empresa, cliente, orden, conceptos, materiales, cantidades y nota configurada, sin precios en el cuerpo de entrega, con espacios para quien recibe y firma; imprimir/guardar PDF usa el diálogo del navegador.";E2E-23;Pendiente de verificar;
