ID;Prioridad_proceso;Tipo_trabajo;Capacidad_y_brecha;Actores;Relacion_otros_modulos;Criterio_aceptacion;Prueba;Dependencia
DAS-03;Media;Completar cobertura funcional;"Situación de las órdenes. Activas/atrasadas se restringen a órdenes creadas dentro del período y atraso se mide contra ahora. No equivale al universo de todas las órdenes vigentes; falta conciliación funcional entre períodos.";Admin / gerente / vendedor / contador según proyección;"pipeline; ordenes_produccion; cuentas_por_cobrar; gastos; consumos; sesiones";Se muestran conteos de órdenes activas y atrasadas, destacando atraso según fecha y estado operativo.;E2E-32: Se muestran conteos de órdenes activas y atrasadas, destacando atraso según fecha y estado operativo.;Entorno de prueba aislado, usuarios ficticios por rol, datos preparados y servicio correspondiente. Resolver la brecha documentada antes de aceptar el resultado integral.
DAS-04;Media;Completar cobertura funcional;"Situación de cartera. CxC pendiente/vencida usa saldos como la base; el ejecutivo compara dos consultas de cartera actual sin reconstruir el corte anterior. Falta conciliar universo y tendencia temporal; cálculo local no verifica KPI completo.";Admin / gerente / vendedor / contador según proyección;"pipeline; ordenes_produccion; cuentas_por_cobrar; gastos; consumos; sesiones";Se muestran CxC pendiente y CxC vencida en MXN a partir de saldos, no del valor original de documentos ya pagados.;E2E-32: Se muestran CxC pendiente y CxC vencida en MXN a partir de saldos, no del valor original de documentos ya pagados.;Entorno de prueba aislado, usuarios ficticios por rol, datos preparados y servicio correspondiente. Resolver la brecha documentada antes de aceptar el resultado integral.
DAS-05;Media;Completar cobertura funcional;"Rendimiento del pipeline. Hay conversión comercial y métricas de vendedor; no se demuestran tiempo medio de respuesta, proporción menor a 24 h y meta 80 % del catálogo.";Admin / gerente / vendedor / contador según proyección;"pipeline; ordenes_produccion; cuentas_por_cobrar; gastos; consumos; sesiones";Se muestran conversión aprobadas/total, tiempo medio de respuesta, proporción respondida dentro de 24 h y referencia de meta de 80%.;E2E-32: Se muestran conversión aprobadas/total, tiempo medio de respuesta, proporción respondida dentro de 24 h y referencia de meta de 80%.;Entorno de prueba aislado, usuarios ficticios por rol, datos preparados y servicio correspondiente. Resolver la brecha documentada antes de aceptar el resultado integral.
DAS-06;Media;Completar cobertura funcional;"Seguimientos y distribución del gasto. Distribución categorizada aparece en Gastos y alertas de estancamiento en Pipeline; no se cubre la agenda de seguimientos con vencimiento hoy del requisito.";Admin / gerente / vendedor / contador según proyección;"pipeline; ordenes_produccion; cuentas_por_cobrar; gastos; consumos; sesiones";Se muestra el aviso de seguimientos pendientes y la distribución mensual por categoría con importes y proporciones.;E2E-32: Se muestra el aviso de seguimientos pendientes y la distribución mensual por categoría con importes y proporciones.;Entorno de prueba aislado, usuarios ficticios por rol, datos preparados y servicio correspondiente. Resolver la brecha documentada antes de aceptar el resultado integral.
CLI-01;Media;Completar cobertura funcional;"Alta y edición del cliente. Alta/edición conserva datos comerciales y condiciones; tier manual se asigna aparte y no hay captura de fecha de inicio histórica equivalente. Falta persistencia ejecutada.";Admin / vendedor con permiso ver_clientes;"clientes; documentos_cliente; CxC para consumo y crédito";"Se conserva nombre comercial, razón social, RFC, contacto, email, teléfono, condiciones de pago, estado, límite de crédito y tier manual con fecha; el nombre comercial es requerido.";"E2E-03: Se conserva nombre comercial, razón social, RFC, contacto, email, teléfono, condiciones de pago, estado, límite de crédito y tier manual con fecha; el nombre comercial es requerido.";Entorno de prueba aislado, usuarios ficticios por rol, datos preparados y servicio correspondiente. Resolver la brecha documentada antes de aceptar el resultado integral.
CLI-02;Media;Completar cobertura funcional;"Búsqueda y filtros. Búsqueda, tier, estado, conteo y paginación disponibles; falta filtro por condición de pago y limpieza conjunta visible.";Admin / vendedor con permiso ver_clientes;"clientes; documentos_cliente; CxC para consumo y crédito";"Se puede consultar por tier, estado y condición de pago, ver cantidad de resultados y limpiar filtros. El filtro presenta activo/inactivo/prospecto; el formulario de este ZIP solo expone activo/inactivo.";"E2E-03: Se puede consultar por tier, estado y condición de pago, ver cantidad de resultados y limpiar filtros. El filtro presenta activo/inactivo/prospecto; el formulario de este ZIP solo expone activo/inactivo.";Entorno de prueba aislado, usuarios ficticios por rol, datos preparados y servicio correspondiente. Resolver la brecha documentada antes de aceptar el resultado integral.
CLI-03;Media;Completar cobertura funcional;"Listado y acceso a historial. Nombre abre ficha con datos y crédito; historial de oportunidades/órdenes es un texto pendiente y listado no muestra consumo ni conteo de órdenes.";Admin / vendedor con permiso ver_clientes;"clientes; documentos_cliente; CxC para consumo y crédito";Se muestran datos principales, cantidad de órdenes, tier, consumo, crédito y un historial vinculado al cliente seleccionado.;E2E-03: Se muestran datos principales, cantidad de órdenes, tier, consumo, crédito y un historial vinculado al cliente seleccionado.;Entorno de prueba aislado, usuarios ficticios por rol, datos preparados y servicio correspondiente. Resolver la brecha documentada antes de aceptar el resultado integral.
CLI-04;Media;Completar cobertura funcional;"Disponibilidad de crédito. Crédito disponible incorpora saldo a favor; nivel de advertencia usa >80 y no >=80. La ausencia de límite no tiene el resultado de la base. Mantener separados ambos conceptos.";Admin / vendedor con permiso ver_clientes;"clientes; documentos_cliente; CxC para consumo y crédito";"Se informa crédito utilizado, disponible y porcentaje; se distinguen niveles menores de 80%, desde 80% y desde 100%. Sin límite definido se muestra ausencia de límite calculado.";"E2E-03: Se informa crédito utilizado, disponible y porcentaje; se distinguen niveles menores de 80%, desde 80% y desde 100%. Sin límite definido se muestra ausencia de límite calculado.";"Entorno de prueba aislado, usuarios ficticios por rol, datos preparados y servicio correspondiente. Resolver D-09 para la variante indicada; no bloquea otras comprobaciones. Resolver la brecha documentada antes de aceptar el resultado integral."
CLI-05;Media;Completar cobertura funcional;"Tier automático por consumo. Tier se calcula sobre CxC no canceladas por fecha de creación, no órdenes entregadas; falta progreso al siguiente tier y descuento visible completo.";Admin / vendedor con permiso ver_clientes;"clientes; documentos_cliente; CxC para consumo y crédito";Se obtiene el tier por consumo elegible y se muestran descuento, consumo acumulado, siguiente tier, importe faltante y progreso hacia él.;E2E-04: Se obtiene el tier por consumo elegible y se muestran descuento, consumo acumulado, siguiente tier, importe faltante y progreso hacia él.;Entorno de prueba aislado, usuarios ficticios por rol, datos preparados y servicio correspondiente. Resolver la brecha documentada antes de aceptar el resultado integral.
CLI-06;Media;Completar cobertura funcional;"Tier inicial temporal. Tier manual vigente prevalece aunque sea menos beneficioso que automático; prueba local confirma esta regla distinta. Caducidad existe, falta máximo beneficio e inicio elegido.";Admin / vendedor con permiso ver_clientes;"clientes; documentos_cliente; CxC para consumo y crédito";"Se informa vigencia de 90 días; mientras está vigente se toma el descuento más beneficioso entre manual y automático; vencida la vigencia se evalúa el consumo real.";"E2E-04: Se informa vigencia de 90 días; mientras está vigente se toma el descuento más beneficioso entre manual y automático; vencida la vigencia se evalúa el consumo real.";Entorno de prueba aislado, usuarios ficticios por rol, datos preparados y servicio correspondiente. Resolver la brecha documentada antes de aceptar el resultado integral.
CLI-07;Alta;Completar cobertura funcional;"Historial de órdenes. La pestaña Oportunidades muestra que el historial se conecta en Fase 5; no ofrece órdenes navegables del cliente.";Admin / vendedor con permiso ver_clientes;"clientes; documentos_cliente; CxC para consumo y crédito";"Se listan órdenes del cliente con área, fecha y estado, ordenadas por aprobación; no se atribuye al ZIP un historial navegable completo de cotizaciones ni un portal externo de clientes.";"E2E-14: Se listan órdenes del cliente con área, fecha y estado, ordenadas por aprobación; no se atribuye al ZIP un historial navegable completo de cotizaciones ni un portal externo de clientes.";Entorno de prueba aislado, usuarios ficticios por rol, datos preparados y servicio correspondiente. Resolver la brecha documentada antes de aceptar el resultado integral.
CLI-08;Alta;Completar cobertura funcional;"Repetición de un trabajo. No se encontró acción de repetir desde historial ni reinicio de ejecución para un nuevo pedido; el historial tampoco está conectado.";Admin / vendedor con permiso ver_clientes;"clientes; documentos_cliente; CxC para consumo y crédito";"Se puede reutilizar información comercial/técnica para un nuevo trabajo y reconocer su nuevo identificador. En el objetivo, reiniciar avances, sesiones, pagos y documentos propios de la ejecución anterior; el canal de creación se ajusta a OBS-15.";"E2E-14: Se puede reutilizar información comercial/técnica para un nuevo trabajo y reconocer su nuevo identificador. En el objetivo, reiniciar avances, sesiones, pagos y documentos propios de la ejecución anterior; el canal de creación se ajusta a OBS-15.";"Entorno de prueba aislado, usuarios ficticios por rol, datos preparados y servicio correspondiente. Resolver D-01 para la variante indicada; no bloquea otras comprobaciones. Resolver la brecha documentada antes de aceptar el resultado integral."
RFQ-01;Alta;Completar cobertura funcional;Cotización multilínea. Prospecto captura contacto, empresa y condiciones. Formulario multilínea aislado contiene descripción/material/cantidad/precio/procesos, pero no está montado en rutas ni contiene todos los campos pedidos.;Admin / vendedor / gerente según permiso;"pipeline; cotizacion_lineas; clientes; ordenes_produccion";"Se capturan cliente, contacto, PO, prioridad, moneda, condiciones, fecha requerida, horas estimadas, responsable, seguimiento, estado, notas, archivos y varias líneas; una línea contiene descripción, material, espesor, cantidad, precio unitario, área y procesos.";"E2E-05: Se capturan cliente, contacto, PO, prioridad, moneda, condiciones, fecha requerida, horas estimadas, responsable, seguimiento, estado, notas, archivos y varias líneas; una línea contiene descripción, material, espesor, cantidad, precio unitario, área y procesos.";Entorno de prueba aislado, usuarios ficticios por rol, datos preparados y servicio correspondiente. Resolver la brecha documentada antes de aceptar el resultado integral.
RFQ-02;Media;Completar cobertura funcional;"Alta rápida de cliente. Promoción a cliente ocurre al ganar la oportunidad; no hay alta contextual desde cotización con selección inmediata ni preservación del borrador.";Admin / vendedor / gerente según permiso;"pipeline; cotizacion_lineas; clientes; ordenes_produccion";"Desde el modal comercial se abre Nuevo cliente, se captura nombre comercial, razón social, RFC, contacto, teléfono y condición de pago; al guardar queda en Clientes y seleccionado en la cotización sin perderla.";"E2E-05: Desde el modal comercial se abre Nuevo cliente, se captura nombre comercial, razón social, RFC, contacto, teléfono y condición de pago; al guardar queda en Clientes y seleccionado en la cotización sin perderla.";Entorno de prueba aislado, usuarios ficticios por rol, datos preparados y servicio correspondiente. Resolver la brecha documentada antes de aceptar el resultado integral.
RFQ-03;Media;Completar cobertura funcional;"Condiciones y descuento del cliente. No se encontró herencia del cliente seleccionado ni línea de descuento por tier; el formulario aislado solo calcula cantidades y precios positivos.";Admin / vendedor / gerente según permiso;"pipeline; cotizacion_lineas; clientes; ordenes_produccion";"Se heredan las condiciones de pago y se muestra su tier; el descuento se representa como una línea identificable, se puede quitar y afecta los totales. Recalcularlo al cambiar la base comercial.";"E2E-05: Se heredan las condiciones de pago y se muestra su tier; el descuento se representa como una línea identificable, se puede quitar y afecta los totales. Recalcularlo al cambiar la base comercial.";Entorno de prueba aislado, usuarios ficticios por rol, datos preparados y servicio correspondiente. Resolver la brecha documentada antes de aceptar el resultado integral.
RFQ-04;Alta;Completar cobertura funcional;"Gestión de líneas. Formulario aislado agrega/quita líneas y conserva una; acciones guardan líneas. No existe punto de entrada operativo a ese formulario en la UI actual.";Admin / vendedor / gerente según permiso;"pipeline; cotizacion_lineas; clientes; ordenes_produccion";"Se actualizan cantidad, precio y subtotal; se permite más de una solicitud en la misma cotización y se conserva al menos una línea comercial editable.";"E2E-05: Se actualizan cantidad, precio y subtotal; se permite más de una solicitud en la misma cotización y se conserva al menos una línea comercial editable.";Entorno de prueba aislado, usuarios ficticios por rol, datos preparados y servicio correspondiente. Resolver la brecha documentada antes de aceptar el resultado integral.
RFQ-05;Alta;Completar cobertura funcional;Áreas y procesos por línea. Contratos y partidas admiten área/procesos, pero formulario no captura área ni secuencia técnica por catálogo y no se acredita distribución multicentro al aprobar.;Admin / vendedor / gerente según permiso;"pipeline; cotizacion_lineas; clientes; ordenes_produccion";"Cada línea puede tener área y varios procesos; una misma orden resultante puede involucrar varias áreas; se distingue la secuencia seleccionada y se excluyen líneas de descuento de las partidas fabricables.";"E2E-07: Cada línea puede tener área y varios procesos; una misma orden resultante puede involucrar varias áreas; se distingue la secuencia seleccionada y se excluyen líneas de descuento de las partidas fabricables.";"Entorno de prueba aislado, usuarios ficticios por rol, datos preparados y servicio correspondiente. Resolver D-13 para la variante indicada; no bloquea otras comprobaciones. Resolver la brecha documentada antes de aceptar el resultado integral."
RFQ-06;Media;Completar cobertura funcional;"Trabajo externo. No se encontró captura de proveedor externo por línea ni traspaso de ese dato a la partida; catálogo de proveedores de Inventario no demuestra esta relación.";Admin / vendedor / gerente según permiso;"pipeline; cotizacion_lineas; clientes; ordenes_produccion";"La línea identifica su condición externa, procesos y proveedor externo de texto; esos datos acompañan la partida generada. No equivale a un módulo completo de proveedores/compras.";"E2E-07: La línea identifica su condición externa, procesos y proveedor externo de texto; esos datos acompañan la partida generada. No equivale a un módulo completo de proveedores/compras.";"Entorno de prueba aislado, usuarios ficticios por rol, datos preparados y servicio correspondiente. Resolver D-13 para la variante indicada; no bloquea otras comprobaciones. Resolver la brecha documentada antes de aceptar el resultado integral."
RFQ-07;Media;Obtener evidencia funcional;"Estados comerciales. Etapas prospecto/contactado/cotizado/negociación/ganada/perdida y prioridades ofrecen equivalencia comercial candidata; falta recorrer transiciones y rechazo en UI.";Admin / vendedor / gerente según permiso;"pipeline; cotizacion_lineas; clientes; ordenes_produccion";"Se reconocen pendiente, enviada, aprobada y rechazada; prioridad normal/media/alta y etiquetas son dimensiones separadas del estado de producción.";"E2E-06: Se reconocen pendiente, enviada, aprobada y rechazada; prioridad normal/media/alta y etiquetas son dimensiones separadas del estado de producción.";Entorno de prueba aislado, usuarios ficticios por rol, datos preparados y servicio correspondiente.
RFQ-08;Media;Completar cobertura funcional;"Fechas de envío y seguimiento. Hay marcas de etapa y alertas por antigüedad; no calendario editable de envío, seguimiento a tres días hábiles y vencimiento a diez.";Admin / vendedor / gerente según permiso;"pipeline; cotizacion_lineas; clientes; ordenes_produccion";"Se propone envío de hoy, seguimiento a tres días hábiles y vencimiento a diez días hábiles; las fechas pueden consultarse y editarse.";"E2E-06: Se propone envío de hoy, seguimiento a tres días hábiles y vencimiento a diez días hábiles; las fechas pueden consultarse y editarse.";Entorno de prueba aislado, usuarios ficticios por rol, datos preparados y servicio correspondiente. Resolver la brecha documentada antes de aceptar el resultado integral.
RFQ-09;Alta;Completar cobertura funcional;Identificación de trabajos internos. No se encontró indicador TI ni ruta comercial sin venta/CxC. Los tipos de pipeline/orden y su aprobación no distinguen orden interna.;Admin / vendedor / gerente según permiso;"pipeline; cotizacion_lineas; clientes; ordenes_produccion";"Se diferencia el trabajo interno TI, se genera folio con prefijo TI y se preserva esa condición al crear la orden; no se genera AR comercial por esa aprobación.";"E2E-09: Se diferencia el trabajo interno TI, se genera folio con prefijo TI y se preserva esa condición al crear la orden; no se genera AR comercial por esa aprobación.";Entorno de prueba aislado, usuarios ficticios por rol, datos preparados y servicio correspondiente. Resolver la brecha documentada antes de aceptar el resultado integral.
RFQ-10;Media;Completar cobertura funcional;"Folio comercial mensual. Generación de folios OP/CNC y vínculo a orden disponibles; falta demostrar formato mensual y continuidad de una cadena con datos persistidos, incluyendo colisiones.";Admin / vendedor / gerente según permiso;"pipeline; cotizacion_lineas; clientes; ordenes_produccion";"Se genera identificador CNCMMYY-NNN a partir de mes/año y secuencia, considerando folios existentes y contador; el folio se comparte como referencia entre cotización y orden.";"E2E-07: Se genera identificador CNCMMYY-NNN a partir de mes/año y secuencia, considerando folios existentes y contador; el folio se comparte como referencia entre cotización y orden.";Entorno de prueba aislado, usuarios ficticios por rol, datos preparados y servicio correspondiente. Resolver la brecha documentada antes de aceptar el resultado integral.
RFQ-11;Media;Completar cobertura funcional;"Moneda e impuesto de cotización. Motor de subtotal/IVA por moneda pasa pruebas; formulario aislado no ofrece selector de IVA ni equivalente MXN y no está conectado al usuario.";Admin / vendedor / gerente según permiso;"pipeline; cotizacion_lineas; clientes; ordenes_produccion";"Se muestran subtotal, IVA opcional, total en moneda y equivalente MXN para USD. El ZIP contiene IVA 16% en estas operaciones; cualquier tasa objetivo distinta debe registrarse como regla de negocio explícita.";"E2E-05: Se muestran subtotal, IVA opcional, total en moneda y equivalente MXN para USD. El ZIP contiene IVA 16% en estas operaciones; cualquier tasa objetivo distinta debe registrarse como regla de negocio explícita.";"Entorno de prueba aislado, usuarios ficticios por rol, datos preparados y servicio correspondiente. Resolver D-16 para la variante indicada; no bloquea otras comprobaciones. Resolver la brecha documentada antes de aceptar el resultado integral."
RFQ-12;Media;Completar cobertura funcional;Etiquetas múltiples. Tipo de oportunidad conserva etiquetas, pero no se encontró editor múltiple ni filtro/representación de etiquetas en tabla y tarjeta.;Admin / vendedor / gerente según permiso;"pipeline; cotizacion_lineas; clientes; ordenes_produccion";"Se añaden o quitan varias etiquetas de configuración sin sustituir el estado; se ven en el listado y sirven para filtrar.";"E2E-06: Se añaden o quitan varias etiquetas de configuración sin sustituir el estado; se ven en el listado y sirven para filtrar.";Entorno de prueba aislado, usuarios ficticios por rol, datos preparados y servicio correspondiente. Resolver la brecha documentada antes de aceptar el resultado integral.
RFQ-13;Media;Completar cobertura funcional;"Búsqueda y combinación de filtros. Servicio admite etapa/vendedor/texto por empresa/contacto; tablero no ofrece la batería combinada de folio, cliente, área, prioridad, etiqueta y período.";Admin / vendedor / gerente según permiso;"pipeline; cotizacion_lineas; clientes; ordenes_produccion";"Se busca por folio o cliente y se filtra por estado, cliente, área, prioridad, etiqueta y período; se muestra número de resultados y acción de limpiar.";"E2E-06: Se busca por folio o cliente y se filtra por estado, cliente, área, prioridad, etiqueta y período; se muestra número de resultados y acción de limpiar.";Entorno de prueba aislado, usuarios ficticios por rol, datos preparados y servicio correspondiente. Resolver la brecha documentada antes de aceptar el resultado integral.
RFQ-14;Media;Completar cobertura funcional;"Resumen de pipeline. Kanban cuenta oportunidades por etapa y Dashboard aporta indicadores; falta resumen monetario pendiente/enviado y estado de OP vinculada en cada fila.";Admin / vendedor / gerente según permiso;"pipeline; cotizacion_lineas; clientes; ordenes_produccion";"Se muestran total, aprobadas, conversión, importe pendiente/enviado y conteo/importe por estado; cada fila muestra seguimiento y estado de la orden vinculada.";"E2E-06: Se muestran total, aprobadas, conversión, importe pendiente/enviado y conteo/importe por estado; cada fila muestra seguimiento y estado de la orden vinculada.";Entorno de prueba aislado, usuarios ficticios por rol, datos preparados y servicio correspondiente. Resolver la brecha documentada antes de aceptar el resultado integral.
RFQ-15;Alta;Completar cobertura funcional;"Aprobación comercial integrada. Ganar crea una OP y partidas mediante RPC y devuelve cadena idempotente; no crea CxC borrador y faltan campos comerciales/técnicos completos y entrada a cotización.";Admin / vendedor / gerente según permiso;"pipeline; cotizacion_lineas; clientes; ordenes_produccion";"Se marca aprobada, se genera orden en Aprobado con cliente, líneas, áreas, procesos, metas, horas, PO, notas y adjuntos; se crea AR en borrador con saldo y condiciones. Una repetición de la aprobación debe conservar una sola cadena de documentos.";"E2E-07: Se marca aprobada, se genera orden en Aprobado con cliente, líneas, áreas, procesos, metas, horas, PO, notas y adjuntos; se crea AR en borrador con saldo y condiciones. Una repetición de la aprobación debe conservar una sola cadena de documentos.";"Entorno de prueba aislado, usuarios ficticios por rol, datos preparados y servicio correspondiente. Resolver D-04 para la variante indicada; no bloquea otras comprobaciones. Resolver la brecha documentada antes de aceptar el resultado integral."
RFQ-16;Alta;Completar cobertura funcional;Autorización por límite de crédito. Existe cálculo informativo de crédito, pero ganar no llama verificación de límite ni ofrece autorización/cancelación por exceso.;Admin / vendedor / gerente según permiso;"pipeline; cotizacion_lineas; clientes; ordenes_produccion";"Se solicita autorización administrativa antes de continuar; confirmar permite la aprobación, cancelar mantiene la cotización sin aprobar. No inventar en la base un control de crédito proyectado si no está evidenciado.";"E2E-08: Se solicita autorización administrativa antes de continuar; confirmar permite la aprobación, cancelar mantiene la cotización sin aprobar. No inventar en la base un control de crédito proyectado si no está evidenciado.";Entorno de prueba aislado, usuarios ficticios por rol, datos preparados y servicio correspondiente. Resolver la brecha documentada antes de aceptar el resultado integral.
RFQ-17;Media;Completar cobertura funcional;Edición posterior y aviso a taller. Hay acción de reemplazo de líneas, sin interfaz conectada ni aviso y sincronización posterior a taller que preserve avance.;Admin / vendedor / gerente según permiso;"pipeline; cotizacion_lineas; clientes; ordenes_produccion";"Se conserva folio, se marca cambio comercial y la orden puede aparecer como pendiente de sincronizar; se permite trasladar el cambio mediante la acción de sincronización de Órdenes.";"E2E-13: Se conserva folio, se marca cambio comercial y la orden puede aparecer como pendiente de sincronizar; se permite trasladar el cambio mediante la acción de sincronización de Órdenes.";Entorno de prueba aislado, usuarios ficticios por rol, datos preparados y servicio correspondiente. Resolver la brecha documentada antes de aceptar el resultado integral.
RFQ-18;Media;Completar cobertura funcional;"Retiro de cotización sin orden. La UI permite pérdida comercial con motivo; no equivale al retiro de una cotización sin orden y no hay acción de baja conectada.";Admin / vendedor / gerente según permiso;"pipeline; cotizacion_lineas; clientes; ordenes_produccion";"Se pide confirmación y se retira esa cotización; no se usa el retiro como sustituto de cancelar una orden en curso.";"E2E-16: Se pide confirmación y se retira esa cotización; no se usa el retiro como sustituto de cancelar una orden en curso.";Entorno de prueba aislado, usuarios ficticios por rol, datos preparados y servicio correspondiente. Resolver la brecha documentada antes de aceptar el resultado integral.
