"ID"	"Clase"	"Resultado_objetivo_y_motivo"	"Referencias"	"Pruebas_locales"	"Decision"
"DAS-03"	"P"	"Activas/atrasadas se restringen a órdenes creadas dentro del período y atraso se mide contra ahora. No equivale al universo de todas las órdenes vigentes; falta conciliación funcional entre períodos."	"dashboard_sql,dashboard,orden_tabla"	"integracion/dashboard-acciones"	""
"DAS-04"	"P"	"CxC pendiente/vencida usa saldos como la base; el ejecutivo compara dos consultas de cartera actual sin reconstruir el corte anterior. Falta conciliar universo y tendencia temporal; cálculo local no verifica KPI completo."	"dashboard_sql,dashboard_finanzas,ar_aging"	"unitarias/cobranza-aging"	""
"DAS-05"	"P"	"Hay conversión comercial y métricas de vendedor; no se demuestran tiempo medio de respuesta, proporción menor a 24 h y meta 80 % del catálogo."	"dashboard_sql,dashboard_ventas"	"unitarias/dashboard-mappers"	""
"DAS-06"	"P"	"Distribución categorizada aparece en Gastos y alertas de estancamiento en Pipeline; no se cubre la agenda de seguimientos con vencimiento hoy del requisito."	"gasto_ui,tarjeta_rfq,dashboard"	"unitarias/pipeline-alertas"	""
"CLI-01"	"P"	"Alta/edición conserva datos comerciales y condiciones; tier manual se asigna aparte y no hay captura de fecha de inicio histórica equivalente. Falta persistencia ejecutada."	"cliente_form,cliente_alta,cliente_editar,tier_manual"	"unitarias/clientes-crear-accion"	""
"CLI-02"	"P"	"Búsqueda, tier, estado, conteo y paginación disponibles; falta filtro por condición de pago y limpieza conjunta visible."	"cliente_lista"	""	""
"CLI-03"	"P"	"Nombre abre ficha con datos y crédito; historial de oportunidades/órdenes es un texto pendiente y listado no muestra consumo ni conteo de órdenes."	"cliente_lista,cliente_ficha"	""	""
"CLI-04"	"P"	"Crédito disponible incorpora saldo a favor; nivel de advertencia usa >80 y no >=80. La ausencia de límite no tiene el resultado de la base. Mantener separados ambos conceptos."	"credito,credito_ui"	"unitarias/clientes-credito"	"D-09"
"CLI-05"	"P"	"Tier se calcula sobre CxC no canceladas por fecha de creación, no órdenes entregadas; falta progreso al siguiente tier y descuento visible completo."	"tier,consumo_cliente,cliente_ficha"	"unitarias/clientes-tier"	""
"CLI-06"	"P"	"Tier manual vigente prevalece aunque sea menos beneficioso que automático; prueba local confirma esta regla distinta. Caducidad existe, falta máximo beneficio e inicio elegido."	"tier,tier_manual"	"unitarias/clientes-tier"	""
"CLI-07"	"N"	"La pestaña Oportunidades muestra que el historial se conecta en Fase 5; no ofrece órdenes navegables del cliente."	"cliente_ficha"	""	""
"CLI-08"	"N"	"No se encontró acción de repetir desde historial ni reinicio de ejecución para un nuevo pedido; el historial tampoco está conectado."	"cliente_ficha,orden_ruta"	""	"D-01"
"RFQ-01"	"P"	"Prospecto captura contacto, empresa y condiciones. Formulario multilínea aislado contiene descripción/material/cantidad/precio/procesos, pero no está montado en rutas ni contiene todos los campos pedidos."	"prospecto,rfq_form,pipeline"	"unitarias/pipeline-totales"	""
"RFQ-02"	"P"	"Promoción a cliente ocurre al ganar la oportunidad; no hay alta contextual desde cotización con selección inmediata ni preservación del borrador."	"prospecto,rfq_ganar,cliente_alta"	"unitarias/pipeline-marcar-ganada-orden"	""
"RFQ-03"	"N"	"No se encontró herencia del cliente seleccionado ni línea de descuento por tier; el formulario aislado solo calcula cantidades y precios positivos."	"rfq_form,prospecto,rfq_totales"	"unitarias/pipeline-totales"	""
"RFQ-04"	"P"	"Formulario aislado agrega/quita líneas y conserva una; acciones guardan líneas. No existe punto de entrada operativo a ese formulario en la UI actual."	"rfq_form,rfq_guardar,pipeline"	"unitarias/pipeline-totales"	""
"RFQ-05"	"P"	"Contratos y partidas admiten área/procesos, pero formulario no captura área ni secuencia técnica por catálogo y no se acredita distribución multicentro al aprobar."	"rfq_form,rfq_guardar,ganar_sql"	"unitarias/ordenes-esquemas"	"D-13"
"RFQ-06"	"N"	"No se encontró captura de proveedor externo por línea ni traspaso de ese dato a la partida; catálogo de proveedores de Inventario no demuestra esta relación."	"rfq_form,rfq_tipos,ganar_sql"	""	"D-13"
"RFQ-07"	"NV"	"Etapas prospecto/contactado/cotizado/negociación/ganada/perdida y prioridades ofrecen equivalencia comercial candidata; falta recorrer transiciones y rechazo en UI."	"rfq_etapa,rfq_ganar"	"unitarias/pipeline-transiciones"	""
"RFQ-08"	"P"	"Hay marcas de etapa y alertas por antigüedad; no calendario editable de envío, seguimiento a tres días hábiles y vencimiento a diez."	"rfq_etapa,tarjeta_rfq,rfq_tipos"	"unitarias/pipeline-alertas"	""
"RFQ-09"	"N"	"No se encontró indicador TI ni ruta comercial sin venta/CxC. Los tipos de pipeline/orden y su aprobación no distinguen orden interna."	"rfq_tipos,orden_tipos,ganar_sql"	""	""
"RFQ-10"	"P"	"Generación de folios OP/CNC y vínculo a orden disponibles; falta demostrar formato mensual y continuidad de una cadena con datos persistidos, incluyendo colisiones."	"rfq_folio,rfq_ganar,ganar_sql"	"unitarias/pipeline-marcar-ganada-orden"	""
"RFQ-11"	"P"	"Motor de subtotal/IVA por moneda pasa pruebas; formulario aislado no ofrece selector de IVA ni equivalente MXN y no está conectado al usuario."	"rfq_totales,rfq_form,prospecto"	"unitarias/pipeline-totales"	"D-16"
"RFQ-12"	"P"	"Tipo de oportunidad conserva etiquetas, pero no se encontró editor múltiple ni filtro/representación de etiquetas en tabla y tarjeta."	"rfq_tipos,tarjeta_rfq,tabla_rfq"	""	""
"RFQ-13"	"P"	"Servicio admite etapa/vendedor/texto por empresa/contacto; tablero no ofrece la batería combinada de folio, cliente, área, prioridad, etiqueta y período."	"rfq_consulta,pipeline,tabla_rfq"	""	""
"RFQ-14"	"P"	"Kanban cuenta oportunidades por etapa y Dashboard aporta indicadores; falta resumen monetario pendiente/enviado y estado de OP vinculada en cada fila."	"pipeline,tabla_rfq,dashboard_ventas"	"unitarias/dashboard-mappers"	""
"RFQ-15"	"P"	"Ganar crea una OP y partidas mediante RPC y devuelve cadena idempotente; no crea CxC borrador y faltan campos comerciales/técnicos completos y entrada a cotización."	"rfq_ganar,ganar_sql,rfq_form"	"unitarias/pipeline-marcar-ganada-orden"	"D-04"
"RFQ-16"	"N"	"Existe cálculo informativo de crédito, pero ganar no llama verificación de límite ni ofrece autorización/cancelación por exceso."	"rfq_ganar,credito"	"unitarias/clientes-credito"	""
"RFQ-17"	"P"	"Hay acción de reemplazo de líneas, sin interfaz conectada ni aviso y sincronización posterior a taller que preserve avance."	"rfq_editar,rfq_form,orden_tabla"	""	""
"RFQ-18"	"N"	"La UI permite pérdida comercial con motivo; no equivale al retiro de una cotización sin orden y no hay acción de baja conectada."	"rfq_etapa,tarjeta_rfq"	"unitarias/pipeline-transiciones"	""
"RFQ-19"	"P"	"Acción de adjunto existe, pero no está consumida por interfaz de Pipeline ni demuestra propagación y lectura en taller."	"rfq_adjuntos,tarjeta_rfq,prd_panel"	""	"D-14"
"COT-01"	"N"	"No se encontró calculadora técnica contextual que aplique precio/material/espesor a la línea; el formulario comercial aislado hace sumas de precios capturados."	"rfq_form,rfq_totales,cfg_tarifas"	""	"D-12"
"COT-02"	"N"	"No se encontró motor de costos acumulados para láser/router/doblado/fabricación/flete; procesos de texto no ejecutan cálculos por estación."	"rfq_form,cfg_tipos"	""	"D-12"
"COT-03"	"P"	"Se admiten material textual y cantidad en el formulario aislado; faltan selección de material técnico, espesor y costo unitario derivado del motor."	"rfq_form,rfq_totales"	"unitarias/pipeline-totales"	"D-12"
"COT-04"	"N"	"No se encontró lector DXF ni extracción/conversión de unidades, perímetro, perforaciones o envolvente."	"rfq_form,cfg_tipos"	""	"D-12"
"COT-05"	"N"	"No se encontró parser de entidades DXF ni pruebas de geometrías y unidades; tampoco una dependencia geométrica declarada."	"rfq_form,cfg_tipos"	""	"D-12"
"COT-06"	"N"	"No se encontró lectura BoundingBox EPS ni captura técnica manual de AI/EPS conectada a cotización."	"rfq_adjuntos,rfq_form"	""	"D-12"
"COT-07"	"N"	"Parámetros generales de láser no constituyen cálculo de corte/perforación/gas/setup/material; falta el motor y la pantalla del resultado."	"cfg_tarifas,cfg_tipos,rfq_totales"	""	"D-12"
"COT-08"	"N"	"No se encontró cálculo router por fresa, horas, setup y material; tarifas generales no cubren ese resultado."	"cfg_tarifas,cfg_tipos"	""	"D-12"
"COT-09"	"N"	"No se encontró cálculo doblado por complejidad/longitud/productividad y segundo operario."	"cfg_tarifas,cfg_tipos"	""	"D-12"
"COT-10"	"N"	"No se encontró cálculo acumulado de fabricación/soldadura/acabados/consumibles/flete en cotización; Gastos registra costo real posterior."	"cfg_tarifas,rfq_totales,gasto_renta"	""	"D-12"
"COT-11"	"N"	"Se configura margen predeterminado pero no se encontró consumidor que calcule precio desde costo con recargo; total comercial no demuestra este cálculo."	"cfg_tipos,rfq_totales"	""	"D-11"
"ORD-01"	"P"	"Tabla filtra máquina y estado con folio/avance/compromiso; proyección omite cliente, origen y TI y no implementa todos los filtros requeridos."	"orden_tabla,orden_ruta"	"unitarias/uso-tienda-ordenes"	""
"ORD-02"	"P"	"Avance y estados visibles; faltan resumen mensual TI, horas dedicadas y conteos completos del universo base."	"orden_tabla,dashboard"	""	""
"ORD-03"	"P"	"Selección abre partidas y comentarios; no detalle integral con cliente, importes, eficiencia, sesiones y adjuntos de todas las fuentes."	"orden_tabla,prd_operar"	""	"D-14"
"ORD-04"	"S"	"La obligación de alta ordinaria administrativa se sustituye por OBS-15. El formulario manual continúa visible en la mejora; se evalúa como diferencia bajo OBS-15, sin exigir dos reglas incompatibles."	"orden_ruta,orden_form"	""	"D-01"
"ORD-05"	"P"	"Hay cambios de estado/asignación; no editor conectado de cabecera, procesos, partidas y adjuntos ni política de edición según ejecución."	"orden_tabla,orden_form,orden_estados"	"unitarias/ordenes-transiciones"	""
"ORD-06"	"D"	"Excepción de ingreso histórico pendiente de negocio. El alta manual actual no captura el paquete de referencia ni genera AR borrador; no eliminar la capacidad histórica del inventario."	"orden_form,orden_ruta,ganar_sql"	""	"D-01"
"ORD-07"	"P"	"Alta captura partidas, material, cantidades/unidad; no ofrece metas por cada proceso y su edición ordenada después del alta."	"orden_form,orden_tipos,ultima_secuencia"	"unitarias/ordenes-esquemas"	""
"ORD-08"	"N"	"No se encontró sincronización de cambios comerciales pendientes hacia una OP existente preservando IDs/avance."	"rfq_editar,orden_tabla,ganar_sql"	""	""
"ORD-09"	"N"	"No se encontró aviso de nuevos archivos ni acuse visto desde orden/piso."	"rfq_adjuntos,orden_tabla,prd_panel"	""	"D-14"
"ORD-10"	"P"	"Cancelación lógica con motivo preserva la orden; no se acredita reconciliación de su CxC/programación ni equivalencia de retiro con AR pendiente."	"orden_estados,orden_sql,orden_tabla"	"unitarias/ordenes-transiciones;integracion/ordenes-acciones"	"D-06"
"ORD-11"	"P"	"Se registran tiempos y costos, pero no existe comparativa conectada de eficiencia/puntualidad/incidencias/venta por orden y agregados."	"orden_tabla,prd_tablero,gasto_renta"	""	"D-11"
"ORD-12"	"P"	"Estados productivos, programación y entrega derivada son distintos; Programar en Órdenes cambia estado sin agenda, y fabricación completada es terminal. Falta reconciliar resultado entre vistas."	"orden_estados,orden_tabla,prd_tablero,plan_cal"	"unitarias/ordenes-transiciones;unitarias/produccion-tablero"	"D-03"
"PRD-01"	"P"	"Existe Kanban administrativo y piso PIN separado; faltan vistas calendario/por área y contadores base en la experiencia del operador."	"prd_kanban,prd_ruta,piso_ruta"	"unitarias/produccion-tablero"	""
"PRD-02"	"P"	"Servicio admite recurso, pero UI de Kanban no presenta filtro por área ni agrupación de actividades multicentro; no se debe inferirlo por tener programaciones."	"prd_kanban,prd_tablero,prd_operar"	""	"D-13"
"PRD-03"	"P"	"Tarjeta muestra folio, avance, compromiso y estado; faltan cliente, TI, procesos, adjuntos, pausa e historial completo al seleccionarla."	"prd_kanban,prd_panel"	""	""
"PRD-04"	"P"	"Se implementa preparación e inicio por recurso con identidad de operador; falta recorrer el acceso conjunto panel/PIN y comprobar equivalencia de exclusividad para recursos asignados."	"prd_panel,prd_ruta,programar_sql"	"integracion/produccion-sesiones"	"D-02"
"PRD-05"	"P"	"Sesión admite seis motivos y libera recurso dejándolo bloqueado; la pausa rápida de OP es otra acción y no pide motivo ni libera agenda de la misma forma."	"prd_panel,sesion_sql,orden_tabla,orden_sql"	"integracion/produccion-sesiones"	""
"PRD-06"	"P"	"Reanudación pasa por preparación o transición OP; no muestra resumen de última sesión/operador/notas/motivo antes de confirmar desde todos los puntos de entrada."	"prd_panel,plan_form,orden_tabla"	"unitarias/ordenes-transiciones"	""
"PRD-07"	"P"	"Sesión registra inicio/fin del servidor, notas, piezas y motivo; no captura adjuntos de avance ni todos los datos manuales de incidencia/turno."	"prd_panel,prd_cerrar,sesion_sql"	"integracion/produccion-sesiones"	""
"PRD-08"	"P"	"Cálculo 12:00–13:00 de Tijuana pasa cinco casos locales, incluyendo solapamiento parcial; falta visualización acumulada contra cotizado/restante/exceso e integración SQL ejecutada."	"prd_horas,sesion_sql,prd_panel"	"unitarias/produccion-comida"	""
"PRD-09"	"P"	"Cantidad se acumula por partida y solo en última secuencia; no representa metas y parciales por cada pareja parte/proceso como la referencia."	"ultima_secuencia,orden_tipos,prd_panel"	"unitarias/ordenes-avance"	""
"PRD-10"	"D"	"No existe modo global para orden sin partidas; depende de decidir soporte histórico y conversión a estructura objetivo sin perder avance."	"orden_form,prd_panel"	""	"D-01"
"PRD-11"	"P"	"Asignación individual por partida y filtro de piso existen; no se encontró asignación separada de operador por cada proceso ni pendientes de otros operadores visibles."	"asignar_sql,piso_ruta,prd_panel"	"integracion/ordenes-acciones"	"D-13"
"PRD-12"	"P"	"PIN coincide con identidad y valida antes de guardar; horas vienen del servidor. Falta confirmación de devolución de archivos y cancelación documental integrada."	"prd_cerrar,prd_panel"	"integracion/produccion-sesiones"	"D-14"
"PRD-13"	"P"	"Lista/entregada se derivan de cantidades, entrega parcial tiene entidad propia; falta comprobar flujo real y retiro automático de entregadas de los tableros activos."	"prd_tablero,prd_entrega,prd_kanban,sesion_sql"	"unitarias/produccion-tablero;integracion/produccion-sesiones"	"D-05,D-06"
"PRD-14"	"P"	"CxC se abre manualmente desde OP completada; no activa un borrador previo ni conserva anticipo anterior porque ese flujo no está representado."	"ar_abrir,ar_servicio,ganar_sql"	"integracion/cobranza-acciones"	"D-04"
"PRD-15"	"N"	"Completada es estado terminal sin reactivación administrativa conectada. Requiere preservar historial y resolver efecto financiero antes de ampliar."	"orden_estados,orden_tabla"	"unitarias/ordenes-transiciones"	"D-04"
"PRD-16"	"P"	"Piso muestra partidas/material asignado y captura de avance/consumo; Kanban carece de detalle técnico completo de pedido, espesor, procesos y planos."	"piso_panel,prd_panel,prd_kanban"	""	"D-14"
"PRD-17"	"P"	"Servicio recupera sesiones y notas de entrega, pero no se renderiza su historial técnico con archivos de entrada/sesión/salida."	"prd_tablero,prd_operar,prd_panel"	""	"D-14"
"PRD-18"	"P"	"Acciones registran auditoría durable; TablaLogs no tiene consumidor en rutas ni Configuración y no se demuestra consulta funcional de la bitácora."	"prd_cerrar,logs,cfg"	"integracion/produccion-sesiones"	""
"PLA-01"	"P"	"Calendario es tabla por rango/turno/recurso; permite consultar intervalos pero no semana/mes navegables, hoy y detalle de pedido equivalentes completos."	"plan_cal"	"unitarias/planeacion-componentes"	"D-15"
"PLA-02"	"NV"	"Reprogramación por formulario puede conservar el resultado de asignar fecha sin exigir arrastre; SQL impide mover ejecución activa. Falta persistir y recargar en entorno aislado."	"plan_form,reprogramar_sql"	"unitarias/planeacion-acciones;unitarias/planeacion-esquemas"	""
"PLA-03"	"S"	"La regla global de ocho horas se sustituye por OBS-19 y D-02; objetivo actual calcula capacidad por recurso/fecha/turno. No exigir simultáneamente capacidad global y por recurso."	"programar_sql,plan_cal"	"unitarias/planeacion-capacidad"	"D-02"
"PLA-04"	"S"	"OBS-19 reemplaza sobreasignación ordinaria por bloqueo. SQL contiene rechazo de sobrecarga; falta sugerencia de siguiente hueco, evaluada en OBS-19."	"programar_sql,plan_form"	"unitarias/planeacion-capacidad"	"D-02"
"PLA-05"	"P"	"Programación y pausa conservan estados propios; no se encontró propuesta de trabajos que caben ni reubicación automática hoy/sin planear al pausar."	"plan_cal,plan_form,sesion_sql"	""	""
"PLA-06"	"P"	"Seleccionar una programación permite reprogramar o preparar; iniciar/sesión/entregar están en otros módulos y no hay enlaces contextuales al detalle ni impresión."	"plan_cal,plan_form,prd_operar"	"unitarias/planeacion-componentes"	""
"PLA-07"	"P"	"Se muestran estado y horas/capacidad, pero no calendario mensual con semáforo de compromiso fijo/próximo/urgente y detalle por día."	"plan_cal,orden_tabla"	""	""
"DOC-01"	"N"	"No se encontró documento de orden de servicio conectado con empresa/cliente/PO/líneas/precios y totales. Plantillas configuradas no son un documento emitible."	"cfg_plantillas,orden_tabla,rfq_form"	""	"D-14"
"DOC-02"	"P"	"Registro de nota de entrega con renglones/cantidades y receptor disponible; falta documento imprimible/guardable con empresa, materiales y leyenda configurada."	"prd_entrega,entrega_servicio,cfg_plantillas"	"integracion/produccion-sesiones"	"D-14"
"DOC-03"	"P"	"Notas de entrega se recuperan como datos, pero no hay visor/reimpresión conectado de orden de servicio o entrega desde Órdenes/historial."	"prd_tablero,prd_operar,orden_tabla"	""	"D-14"
"DOC-04"	"P"	"Ficha de cliente permite documentos y acción Pipeline admite adjunto; falta ciclo múltiple integrado de RFQ→OP→sesión→salida y retiro de lista según contexto."	"cliente_ficha,rfq_adjuntos,prd_panel"	""	"D-14"
"AR-01"	"P"	"Aprobación crea OP pero no CxC borrador; abrir cuenta es una acción independiente posterior a completar fabricación."	"ganar_sql,ar_abrir,ar_ui"	"integracion/cobranza-acciones"	"D-04"
"AR-02"	"P"	"Acción de alta vinculada a OP completada existe en servidor, pero ningún componente la invoca; no hay alta de CxC disponible desde la UI ni propuesta de datos comerciales."	"ar_ui,ar_abrir,ar_servicio"	"integracion/cobranza-acciones"	"D-04"
"AR-03"	"P"	"Existen pendiente/parcial/pagado/cancelado; falta estado borrador desde aprobación y activación automática al quedar lista/entregada."	"ar_tipos,ar_servicio,ganar_sql"	"unitarias/cobranza-esquemas"	"D-04"
"AR-04"	"N"	"Vencimiento es entrada obligatoria de una acción sin interfaz; no se deriva de condiciones contado/15/30/crédito ni de activación automática."	"ar_ui,ar_abrir"	"unitarias/cobranza-esquemas"	"D-04"
"AR-05"	"P"	"Pago parcial/total y moneda se representan; falta cuenta bancaria destino seleccionable y anticipo antes del cierre productivo."	"ar_pago,ar_servicio,ar_ui"	"integracion/cobranza-acciones"	"D-04,D-08"
"AR-06"	"N"	"No se encontró anticipo en CxC borrador antes de terminar; la apertura exige orden completada."	"ar_abrir,ar_servicio"	"integracion/cobranza-acciones"	"D-04"
"AR-07"	"P"	"Motor liquida y genera monedero con excedente, acorde con OBS-25. Falta panel completo de total/cobrado/restante/progreso y movimientos recuperables; no se ejecutó liquidación persistida."	"ar_ui,ar_tabla,ar_servicio"	"integracion/cobranza-acciones;unitarias/cobranza-aging"	""
"AR-08"	"N"	"No se encontró edición/reversión funcional de pago con recálculo de deuda y cuenta. Inmutabilidad no demuestra una alternativa de corrección."	"ar_pago,ar_servicio,ar_recibo"	""	""
"AR-09"	"D"	"No se encontró carga de movimientos heredados dentro de Cobranza; alcance y excepción histórica necesitan decisión explícita."	"ar_ui,ar_servicio"	""	"D-01"
"AR-10"	"P"	"Listado y resumen de cartera tienen filtros parciales; falta batería completa de folio/cliente/fecha/estado y métricas conciliadas con todo filtro aplicado."	"ar_ui,ar_tabla,ar_aging"	"unitarias/cobranza-tienda"	""
"AR-11"	"N"	"Folio de OP se presenta como texto plano en Cobranza, sin enlace ni modal. La ruta Órdenes acepta ordenId, pero no hay navegación conectada desde esta tabla."	"ar_tabla,orden_ruta"	""	""
"AR-12"	"P"	"Buckets por vencimiento en MXN pasan pruebas puras; tarjeta usa la cartera completa mientras tabla usa cuentasFiltradas. Falta desglose navegable y conciliación al filtrar por cliente/período."	"ar_aging,ar_aging_ui"	"unitarias/cobranza-aging"	""
"AR-13"	"P"	"Vencidos se identifican en aging/tabla, pero no se acredita toda la consulta y alerta previa al vencimiento de la referencia."	"ar_aging_ui,ar_tabla"	"unitarias/cobranza-aging"	""
"AR-14"	"N"	"No se encontró estado de cuenta consolidado imprimible por cliente con sus documentos/saldos; listado de cartera no lo sustituye."	"ar_ui,ar_tabla,ar_recibo"	""	""
"AR-15"	"N"	"Pago no selecciona cuenta bancaria y no existe agrupación por cuenta destino para conciliación; catálogo de cuentas está separado."	"ar_pago,ar_tipos,cfg_cuentas"	""	"D-08"
"AR-16"	"N"	"No se encontró retiro/corrección de registro de cobro con efecto en deuda e historial; la auditoría no debe ejecutar borrados para demostrarlo."	"ar_servicio,ar_ui"	""	""
"GAS-01"	"P"	"Alta manual captura fecha/categoría/descripción/importes/moneda/TC/UUID de OP/método/folio/notas; proveedor solo existe en contrato sin selector. Faltan tipo fijo/variable, cuenta origen y estado inicial elegible."	"gasto_form,gasto_esquema,gasto_servicio"	"integracion/gastos-acciones"	"D-08"
"GAS-02"	"N"	"Listado permite cambios de estado pero no edición de los datos de un gasto guardado con recuperación posterior."	"gasto_tabla,gasto_servicio"	""	""
"GAS-03"	"P"	"Moneda/TC e IVA están en contratos, pero formulario no ofrece selector consistente 8/16/sin IVA y tratamiento neto/total de la referencia."	"gasto_form,gasto_esquema"	"unitarias/gastos-esquemas"	"D-16"
"GAS-04"	"P"	"OrdenId opcional atribuye costo, pero captura exige UUID sin buscador ni herencia contextual de la orden."	"gasto_form,gasto_servicio,gasto_renta"	"integracion/gastos-acciones"	""
"GAS-05"	"P"	"Marcar pagado/cancelar existe; la tabla no presenta vencimiento ni aviso individual de deuda vencida y falta cuenta origen. Métrica global no demuestra consulta de cada CxP."	"gasto_tabla,gasto_form,gasto_servicio"	"integracion/gastos-acciones"	""
"GAS-06"	"P"	"Filtros por estado/categoría y rango existen; falta cobertura integral de combinaciones y búsqueda de referencia con limpieza conciliada."	"gasto_ui,gasto_tabla"	""	""
"GAS-07"	"P"	"Distribución por categoría usa todos los gastos mientras tabla usa filtrados; faltan KPI fijos/variables/pendientes y acción del gráfico que filtre. El gráfico no mide el mismo subconjunto del listado."	"gasto_ui"	""	""
"GAS-08"	"NV"	"OCR de imágenes y precarga editable están implementados; cinco casos locales usan proveedor simulado. Servicio real no verificado. Proveedor/método/notas del comprobante no se precargan y PDF no se admite; no se certifica paridad completa."	"gasto_ocr,gasto_form"	"unitarias/gastos-ocr"	""
"GAS-09"	"P"	"Selección de imagen para OCR no envía comprobanteUrl al guardar el gasto; falta previsualización y recuperación posterior del archivo. Una respuesta OCR no acredita un adjunto persistido."	"gasto_form,gasto_ocr,gasto_servicio"	"unitarias/gastos-ocr"	""
"CFG-01"	"P"	"Empresa y plantillas se guardan; falta comprobar que alimenten documentos efectivamente emitibles y se reflejen al reimprimir."	"cfg_empresa,cfg_plantillas,cfg_servicio"	"integracion/configuracion-acciones"	"D-14"
"CFG-02"	"P"	"TC editable y configuración contiene IVA default; no hay propagación demostrada a todos los módulos ni controles globales equivalentes 8/16 en UI."	"cfg_tarifas,cfg_tipos,rfq_totales"	"integracion/configuracion-acciones"	"D-16"
"CFG-03"	"P"	"CRUD/activación de cuentas bancarias disponible; no se consume al registrar pagos y no equivale a catálogo de métodos de cobro de referencia."	"cfg_cuentas,ar_pago"	"integracion/configuracion-acciones"	"D-08"
"CFG-04"	"P"	"Hay generadores de folio y secuencias, pero Configuración no permite consultar/ajustar último y siguiente folio mensual para continuidad histórica."	"rfq_folio,cfg"	""	"D-01"
"CFG-05"	"P"	"Usuarios/PIN y permisos existen en servidor, pero Configuración no ofrece alta/edición/desactivación operativa de usuarios de taller."	"pin,cfg,menu"	"unitarias/sesion-operador"	""
"CFG-06"	"P"	"Áreas con color, tarifa y condición externa son editables; no hay CRUD de procesos/subáreas enlazado a listas de comercial y planeación, que usa áreas fijas."	"cfg_areas,plan_tipos,rfq_form"	"integracion/configuracion-acciones"	"D-13"
"CFG-07"	"N"	"No se encontró CRUD de etiquetas de colores ni editor múltiple de asignación; campo etiquetas en contrato no demuestra capacidad."	"cfg,rfq_tipos,tarjeta_rfq"	""	""
"CFG-08"	"P"	"Tiers y umbrales son constantes y asignación manual existe; no se encontró CRUD de umbrales/descuentos/colores configurable."	"tier,cliente_lista,cfg"	"unitarias/clientes-tier"	""
"CFG-09"	"P"	"Gastos usa categorías definidas en código; Configuración no presenta alta/retiro de categorías de negocio."	"cfg,gasto_esquema,gasto_form"	"unitarias/gastos-esquemas"	""
"CFG-10"	"P"	"Solo cinco parámetros generales del cotizador disponibles; faltan tarifas específicas y consumidor de fórmulas técnicas. Dependencia de historial de la base no se impone al objetivo."	"cfg_tarifas,cfg_tipos,rfq_totales"	"integracion/configuracion-acciones"	"D-12"
"CFG-11"	"P"	"Recursos, áreas y capacidades tienen modelo propio; equivalencia de nombres y equipos de referencia requiere mapa de negocio y datos de prueba, no copiar constantes."	"plan_tipos,cfg_areas,plan_cal"	""	"D-13"
"CFG-12"	"D"	"No se encontró consolidación histórica de negocio con previsualización y reconciliación de AR; migraciones SQL de estructura no equivalen a esa capacidad. Decidir soporte histórico."	"cfg,orden_form,ar_abrir"	""	"D-01"
"CFG-13"	"P"	"Componente TablaLogs y servicio existen, pero no tienen entrada desde Configuración/rutas; registro durable no prueba consulta funcional reciente."	"logs,cfg"	""	""
