ID;Origen;Modulo_base;Capacidad_base;Fuente_base;Resultado_exigido;Actor_objetivo;Puntos_entrada_revisados;Operacion_disparador;Datos_relacionados;Regla_estado_y_resultado_objetivo;Evidencia_codigo;Evidencia_ejecutada_local;Evidencia_funcional_E2E;Clasificacion;Motivo;Siguiente_prueba_necesaria;Dependencia;Decisiones_relacionadas
DAS-03;B;Dashboard;Situación de las órdenes;"src/App.jsx:573-574;598";Se muestran conteos de órdenes activas y atrasadas, destacando atraso según fecha y estado operativo.;Admin / gerente / vendedor / contador según proyección;/dashboard y filtros de período;existen órdenes en distintos estados y fechas requeridas;"pipeline; ordenes_produccion; cuentas_por_cobrar; gastos; consumos; sesiones";"Activas/atrasadas se restringen a órdenes creadas dentro del período y atraso se mide contra ahora. No equivale al universo de todas las órdenes vigentes; falta conciliación funcional entre períodos.";"supabase/migrations/20260910001120_fase_10_dashboard_base.sql:136; src/modulos/dashboard/componentes/operacion-dashboard.tsx:17; src/modulos/ordenes/componentes/tabla-ordenes.tsx:188";integracion/dashboard-acciones (3 casos aprobados). Detalle en evidencias/casos-locales.csv. Solo evidencia parcial local, sin flujo persistido.;"No ejecutada en navegador/BD de prueba; persistencia y segunda sesión pendientes.";cobertura parcial;"Activas/atrasadas se restringen a órdenes creadas dentro del período y atraso se mide contra ahora. No equivale al universo de todas las órdenes vigentes; falta conciliación funcional entre períodos.";E2E-32: Se muestran conteos de órdenes activas y atrasadas, destacando atraso según fecha y estado operativo.;Entorno de prueba aislado, usuarios ficticios por rol, datos preparados y servicio correspondiente. Resolver la brecha documentada antes de aceptar el resultado integral.;
DAS-04;B;Dashboard;Situación de cartera;"src/App.jsx:575-576;598";Se muestran CxC pendiente y CxC vencida en MXN a partir de saldos, no del valor original de documentos ya pagados.;Admin / gerente / vendedor / contador según proyección;/dashboard y filtros de período;existen AR pendientes con vencimientos diversos;"pipeline; ordenes_produccion; cuentas_por_cobrar; gastos; consumos; sesiones";"CxC pendiente/vencida usa saldos como la base; el ejecutivo compara dos consultas de cartera actual sin reconstruir el corte anterior. Falta conciliar universo y tendencia temporal; cálculo local no verifica KPI completo.";"supabase/migrations/20260910001120_fase_10_dashboard_base.sql:136; src/modulos/dashboard/componentes/seccion-financiera.tsx:8; src/modulos/cobranza/servicios/aging-servicio.ts:23";unitarias/cobranza-aging (13 casos aprobados). Detalle en evidencias/casos-locales.csv. Solo evidencia parcial local, sin flujo persistido.;"No ejecutada en navegador/BD de prueba; persistencia y segunda sesión pendientes.";cobertura parcial;"CxC pendiente/vencida usa saldos como la base; el ejecutivo compara dos consultas de cartera actual sin reconstruir el corte anterior. Falta conciliar universo y tendencia temporal; cálculo local no verifica KPI completo.";E2E-32: Se muestran CxC pendiente y CxC vencida en MXN a partir de saldos, no del valor original de documentos ya pagados.;Entorno de prueba aislado, usuarios ficticios por rol, datos preparados y servicio correspondiente. Resolver la brecha documentada antes de aceptar el resultado integral.;
DAS-05;B;Dashboard;Rendimiento del pipeline;"src/App.jsx:577-581;600-610";Se muestran conversión aprobadas/total, tiempo medio de respuesta, proporción respondida dentro de 24 h y referencia de meta de 80%.;Admin / gerente / vendedor / contador según proyección;/dashboard y filtros de período;hay RFQ con fecha de registro, envío y decisión;"pipeline; ordenes_produccion; cuentas_por_cobrar; gastos; consumos; sesiones";"Hay conversión comercial y métricas de vendedor; no se demuestran tiempo medio de respuesta, proporción menor a 24 h y meta 80 % del catálogo.";"supabase/migrations/20260910001120_fase_10_dashboard_base.sql:136; src/modulos/dashboard/componentes/seccion-ventas-pipeline.tsx:14";unitarias/dashboard-mappers (3 casos aprobados). Detalle en evidencias/casos-locales.csv. Solo evidencia parcial local, sin flujo persistido.;"No ejecutada en navegador/BD de prueba; persistencia y segunda sesión pendientes.";cobertura parcial;"Hay conversión comercial y métricas de vendedor; no se demuestran tiempo medio de respuesta, proporción menor a 24 h y meta 80 % del catálogo.";E2E-32: Se muestran conversión aprobadas/total, tiempo medio de respuesta, proporción respondida dentro de 24 h y referencia de meta de 80%.;Entorno de prueba aislado, usuarios ficticios por rol, datos preparados y servicio correspondiente. Resolver la brecha documentada antes de aceptar el resultado integral.;
DAS-06;B;Dashboard;Seguimientos y distribución del gasto;"src/App.jsx:585-596;612-620";Se muestra el aviso de seguimientos pendientes y la distribución mensual por categoría con importes y proporciones.;Admin / gerente / vendedor / contador según proyección;/dashboard y filtros de período;hay RFQ enviadas cuyo seguimiento vence hoy y gastos categorizados;"pipeline; ordenes_produccion; cuentas_por_cobrar; gastos; consumos; sesiones";"Distribución categorizada aparece en Gastos y alertas de estancamiento en Pipeline; no se cubre la agenda de seguimientos con vencimiento hoy del requisito.";"src/modulos/gastos/componentes/operacion-gastos.tsx:61; src/modulos/pipeline/componentes/tarjeta-oportunidad.tsx:52; src/modulos/dashboard/componentes/operacion-dashboard.tsx:17";unitarias/pipeline-alertas (9 casos aprobados). Detalle en evidencias/casos-locales.csv. Solo evidencia parcial local, sin flujo persistido.;"No ejecutada en navegador/BD de prueba; persistencia y segunda sesión pendientes.";cobertura parcial;"Distribución categorizada aparece en Gastos y alertas de estancamiento en Pipeline; no se cubre la agenda de seguimientos con vencimiento hoy del requisito.";E2E-32: Se muestra el aviso de seguimientos pendientes y la distribución mensual por categoría con importes y proporciones.;Entorno de prueba aislado, usuarios ficticios por rol, datos preparados y servicio correspondiente. Resolver la brecha documentada antes de aceptar el resultado integral.;
CLI-01;B;Clientes;Alta y edición del cliente;"src/App.jsx:625-630;728-753";"Se conserva nombre comercial, razón social, RFC, contacto, email, teléfono, condiciones de pago, estado, límite de crédito y tier manual con fecha; el nombre comercial es requerido.";Admin / vendedor con permiso ver_clientes;/clientes: listado, modal alta/edición, ficha;se crea o modifica una ficha;"clientes; documentos_cliente; CxC para consumo y crédito";"Alta/edición conserva datos comerciales y condiciones; tier manual se asigna aparte y no hay captura de fecha de inicio histórica equivalente. Falta persistencia ejecutada.";"src/modulos/clientes/componentes/formulario-cliente.tsx:87; src/modulos/clientes/acciones/crear-cliente.ts:20; src/modulos/clientes/acciones/actualizar-cliente.ts:21; src/modulos/clientes/acciones/asignar-tier-manual.ts:20";unitarias/clientes-crear-accion (4 casos aprobados). Detalle en evidencias/casos-locales.csv. Solo evidencia parcial local, sin flujo persistido.;"No ejecutada en navegador/BD de prueba; persistencia y segunda sesión pendientes.";cobertura parcial;"Alta/edición conserva datos comerciales y condiciones; tier manual se asigna aparte y no hay captura de fecha de inicio histórica equivalente. Falta persistencia ejecutada.";"E2E-03: Se conserva nombre comercial, razón social, RFC, contacto, email, teléfono, condiciones de pago, estado, límite de crédito y tier manual con fecha; el nombre comercial es requerido.";Entorno de prueba aislado, usuarios ficticios por rol, datos preparados y servicio correspondiente. Resolver la brecha documentada antes de aceptar el resultado integral.;
CLI-02;B;Clientes;Búsqueda y filtros;"src/App.jsx:631-680;732";"Se puede consultar por tier, estado y condición de pago, ver cantidad de resultados y limpiar filtros. El filtro presenta activo/inactivo/prospecto; el formulario de este ZIP solo expone activo/inactivo.";Admin / vendedor con permiso ver_clientes;/clientes: listado, modal alta/edición, ficha;se busca por nombre comercial o razón social y se combinan filtros;"clientes; documentos_cliente; CxC para consumo y crédito";"Búsqueda, tier, estado, conteo y paginación disponibles; falta filtro por condición de pago y limpieza conjunta visible.";src/modulos/clientes/componentes/tabla-clientes.tsx:34;Sin caso local específico ejecutado para este requisito.;"No ejecutada en navegador/BD de prueba; persistencia y segunda sesión pendientes.";cobertura parcial;"Búsqueda, tier, estado, conteo y paginación disponibles; falta filtro por condición de pago y limpieza conjunta visible.";"E2E-03: Se puede consultar por tier, estado y condición de pago, ver cantidad de resultados y limpiar filtros. El filtro presenta activo/inactivo/prospecto; el formulario de este ZIP solo expone activo/inactivo.";Entorno de prueba aislado, usuarios ficticios por rol, datos preparados y servicio correspondiente. Resolver la brecha documentada antes de aceptar el resultado integral.;
CLI-03;B;Clientes;Listado y acceso a historial;src/App.jsx:676-726;Se muestran datos principales, cantidad de órdenes, tier, consumo, crédito y un historial vinculado al cliente seleccionado.;Admin / vendedor con permiso ver_clientes;/clientes: listado, modal alta/edición, ficha;se selecciona un cliente desde nombre o botón Historial;"clientes; documentos_cliente; CxC para consumo y crédito";"Nombre abre ficha con datos y crédito; historial de oportunidades/órdenes es un texto pendiente y listado no muestra consumo ni conteo de órdenes.";"src/modulos/clientes/componentes/tabla-clientes.tsx:34; src/modulos/clientes/componentes/ficha-cliente.tsx:112";Sin caso local específico ejecutado para este requisito.;"No ejecutada en navegador/BD de prueba; persistencia y segunda sesión pendientes.";cobertura parcial;"Nombre abre ficha con datos y crédito; historial de oportunidades/órdenes es un texto pendiente y listado no muestra consumo ni conteo de órdenes.";E2E-03: Se muestran datos principales, cantidad de órdenes, tier, consumo, crédito y un historial vinculado al cliente seleccionado.;Entorno de prueba aislado, usuarios ficticios por rol, datos preparados y servicio correspondiente. Resolver la brecha documentada antes de aceptar el resultado integral.;
CLI-04;B;Clientes;Disponibilidad de crédito;"src/App.jsx:120;683-700;713";"Se informa crédito utilizado, disponible y porcentaje; se distinguen niveles menores de 80%, desde 80% y desde 100%. Sin límite definido se muestra ausencia de límite calculado.";Admin / vendedor con permiso ver_clientes;/clientes: listado, modal alta/edición, ficha;un cliente tiene límite definido y documentos pendientes;"clientes; documentos_cliente; CxC para consumo y crédito";"Crédito disponible incorpora saldo a favor; nivel de advertencia usa >80 y no >=80. La ausencia de límite no tiene el resultado de la base. Mantener separados ambos conceptos.";"src/modulos/clientes/servicios/verificar-credito.ts:24; src/modulos/clientes/componentes/alerta-credito.tsx:14";unitarias/clientes-credito (5 casos aprobados). Detalle en evidencias/casos-locales.csv. Solo evidencia parcial local, sin flujo persistido.;"No ejecutada en navegador/BD de prueba; persistencia y segunda sesión pendientes.";cobertura parcial;"Crédito disponible incorpora saldo a favor; nivel de advertencia usa >80 y no >=80. La ausencia de límite no tiene el resultado de la base. Mantener separados ambos conceptos.";"E2E-03: Se informa crédito utilizado, disponible y porcentaje; se distinguen niveles menores de 80%, desde 80% y desde 100%. Sin límite definido se muestra ausencia de límite calculado.";"Entorno de prueba aislado, usuarios ficticios por rol, datos preparados y servicio correspondiente. Resolver D-09 para la variante indicada; no bloquea otras comprobaciones. Resolver la brecha documentada antes de aceptar el resultado integral.";D-09
CLI-05;B;Clientes;Tier automático por consumo;"src/App.jsx:361-387;683-714";Se obtiene el tier por consumo elegible y se muestran descuento, consumo acumulado, siguiente tier, importe faltante y progreso hacia él.;Admin / vendedor con permiso ver_clientes;/clientes: listado, modal alta/edición, ficha;se consulta un cliente con órdenes entregadas de los últimos tres meses;"clientes; documentos_cliente; CxC para consumo y crédito";"Tier se calcula sobre CxC no canceladas por fecha de creación, no órdenes entregadas; falta progreso al siguiente tier y descuento visible completo.";"src/modulos/clientes/servicios/calcular-tier.ts:53; src/modulos/clientes/servicios/calcular-consumo.ts:24; src/modulos/clientes/componentes/ficha-cliente.tsx:112";unitarias/clientes-tier (7 casos aprobados). Detalle en evidencias/casos-locales.csv. Solo evidencia parcial local, sin flujo persistido.;"No ejecutada en navegador/BD de prueba; persistencia y segunda sesión pendientes.";cobertura parcial;"Tier se calcula sobre CxC no canceladas por fecha de creación, no órdenes entregadas; falta progreso al siguiente tier y descuento visible completo.";E2E-04: Se obtiene el tier por consumo elegible y se muestran descuento, consumo acumulado, siguiente tier, importe faltante y progreso hacia él.;Entorno de prueba aislado, usuarios ficticios por rol, datos preparados y servicio correspondiente. Resolver la brecha documentada antes de aceptar el resultado integral.;
CLI-06;B;Clientes;Tier inicial temporal;"src/App.jsx:371-381;735-751";"Se informa vigencia de 90 días; mientras está vigente se toma el descuento más beneficioso entre manual y automático; vencida la vigencia se evalúa el consumo real.";Admin / vendedor con permiso ver_clientes;/clientes: listado, modal alta/edición, ficha;se asigna un tier manual y su fecha de inicio;"clientes; documentos_cliente; CxC para consumo y crédito";"Tier manual vigente prevalece aunque sea menos beneficioso que automático; prueba local confirma esta regla distinta. Caducidad existe, falta máximo beneficio e inicio elegido.";"src/modulos/clientes/servicios/calcular-tier.ts:53; src/modulos/clientes/acciones/asignar-tier-manual.ts:20";unitarias/clientes-tier (7 casos aprobados). Detalle en evidencias/casos-locales.csv. Solo evidencia parcial local, sin flujo persistido.;"No ejecutada en navegador/BD de prueba; persistencia y segunda sesión pendientes.";cobertura parcial;"Tier manual vigente prevalece aunque sea menos beneficioso que automático; prueba local confirma esta regla distinta. Caducidad existe, falta máximo beneficio e inicio elegido.";"E2E-04: Se informa vigencia de 90 días; mientras está vigente se toma el descuento más beneficioso entre manual y automático; vencida la vigencia se evalúa el consumo real.";Entorno de prueba aislado, usuarios ficticios por rol, datos preparados y servicio correspondiente. Resolver la brecha documentada antes de aceptar el resultado integral.;
CLI-07;B;Clientes;Historial de órdenes;src/App.jsx:715-726;"Se listan órdenes del cliente con área, fecha y estado, ordenadas por aprobación; no se atribuye al ZIP un historial navegable completo de cotizaciones ni un portal externo de clientes.";Admin / vendedor con permiso ver_clientes;/clientes: listado, modal alta/edición, ficha;se abre el historial;"clientes; documentos_cliente; CxC para consumo y crédito";"La pestaña Oportunidades muestra que el historial se conecta en Fase 5; no ofrece órdenes navegables del cliente.";src/modulos/clientes/componentes/ficha-cliente.tsx:112;Sin caso local específico ejecutado para este requisito.;"No ejecutada en navegador/BD de prueba; persistencia y segunda sesión pendientes.";no cubierta en el alcance revisado;"La pestaña Oportunidades muestra que el historial se conecta en Fase 5; no ofrece órdenes navegables del cliente.";"E2E-14: Se listan órdenes del cliente con área, fecha y estado, ordenadas por aprobación; no se atribuye al ZIP un historial navegable completo de cotizaciones ni un portal externo de clientes.";Entorno de prueba aislado, usuarios ficticios por rol, datos preparados y servicio correspondiente. Resolver la brecha documentada antes de aceptar el resultado integral.;
