Caso;Titulo;Requisitos;Estado;Limite;Siguiente_paso;Fuente
E2E-22;Programación y capacidad [B/OBS];PLA-01, PLA-02, PLA-03, PLA-04, PLA-05, PLA-06, PLA-07, OBS-19;No ejecutado en navegador/BD de prueba;"Sin entorno aislado confirmado; Docker local no disponible. Suites remotas mutantes excluidas.";"Preparar escenario ficticio del Prompt 3 en entorno de prueba aprobado; recorrer UI y persistencia por los IDs asociados.";fuentes/03_Prompt_flujos_E2E.md:576
E2E-23;Documentos y entrega [B/OBS];PRD-14, DOC-01, DOC-02, DOC-03, OBS-13, OBS-21;No ejecutado en navegador/BD de prueba;"Sin entorno aislado confirmado; Docker local no disponible. Suites remotas mutantes excluidas.";"Preparar escenario ficticio del Prompt 3 en entorno de prueba aprobado; recorrer UI y persistencia por los IDs asociados.";fuentes/03_Prompt_flujos_E2E.md:602
E2E-24;Ciclo completo de cobro con anticipo [B];AR-03, AR-04, AR-05, AR-06, AR-07, AR-09;No ejecutado en navegador/BD de prueba;"Sin entorno aislado confirmado; Docker local no disponible. Suites remotas mutantes excluidas.";"Preparar escenario ficticio del Prompt 3 en entorno de prueba aprobado; recorrer UI y persistencia por los IDs asociados.";fuentes/03_Prompt_flujos_E2E.md:626
E2E-25;Nueva CxC y edición de pago [B];AR-02, AR-08, AR-10, AR-11;No ejecutado en navegador/BD de prueba;"Sin entorno aislado confirmado; Docker local no disponible. Suites remotas mutantes excluidas.";"Preparar escenario ficticio del Prompt 3 en entorno de prueba aprobado; recorrer UI y persistencia por los IDs asociados.";fuentes/03_Prompt_flujos_E2E.md:650
E2E-26;Aging y navegación por antigüedad [B/OBS];AR-12, AR-13, OBS-01;No ejecutado en navegador/BD de prueba;"Sin entorno aislado confirmado; Docker local no disponible. Suites remotas mutantes excluidas.";"Preparar escenario ficticio del Prompt 3 en entorno de prueba aprobado; recorrer UI y persistencia por los IDs asociados.";fuentes/03_Prompt_flujos_E2E.md:674
E2E-27;Estado de cuenta de cinco órdenes [B/OBS];AR-14, OBS-27;No ejecutado en navegador/BD de prueba;"Sin entorno aislado confirmado; Docker local no disponible. Suites remotas mutantes excluidas.";"Preparar escenario ficticio del Prompt 3 en entorno de prueba aprobado; recorrer UI y persistencia por los IDs asociados.";fuentes/03_Prompt_flujos_E2E.md:692
E2E-28;Cuentas, pagos y movimientos [B/OBS];AR-15, CFG-03, OBS-24, OBS-28;No ejecutado en navegador/BD de prueba;"Sin entorno aislado confirmado; Docker local no disponible. Suites remotas mutantes excluidas.";"Preparar escenario ficticio del Prompt 3 en entorno de prueba aprobado; recorrer UI y persistencia por los IDs asociados.";fuentes/03_Prompt_flujos_E2E.md:714
E2E-29;Gastos manuales, estados y filtros [B];GAS-01, GAS-02, GAS-03, GAS-04, GAS-05, GAS-06, GAS-07, CFG-09;No ejecutado en navegador/BD de prueba;"Sin entorno aislado confirmado; Docker local no disponible. Suites remotas mutantes excluidas.";"Preparar escenario ficticio del Prompt 3 en entorno de prueba aprobado; recorrer UI y persistencia por los IDs asociados.";fuentes/03_Prompt_flujos_E2E.md:736
E2E-30;Comprobante asistido y captura manual [C/B];GAS-08, GAS-09;No ejecutado en navegador/BD de prueba;"Sin entorno aislado confirmado; Docker local no disponible. Suites remotas mutantes excluidas.";"Preparar escenario ficticio del Prompt 3 en entorno de prueba aprobado; recorrer UI y persistencia por los IDs asociados.";fuentes/03_Prompt_flujos_E2E.md:760
E2E-31;Catálogos y datos de empresa [B/OBS];CFG-01, CFG-05, CFG-06, CFG-11, OBS-14;No ejecutado en navegador/BD de prueba;"Sin entorno aislado confirmado; Docker local no disponible. Suites remotas mutantes excluidas.";"Preparar escenario ficticio del Prompt 3 en entorno de prueba aprobado; recorrer UI y persistencia por los IDs asociados.";fuentes/03_Prompt_flujos_E2E.md:784
E2E-32;KPI de órdenes y dashboard conciliados [B];DAS-01, DAS-02, DAS-03, DAS-04, DAS-05, DAS-06, ORD-11;No ejecutado en navegador/BD de prueba;"Sin entorno aislado confirmado; Docker local no disponible. Suites remotas mutantes excluidas.";"Preparar escenario ficticio del Prompt 3 en entorno de prueba aprobado; recorrer UI y persistencia por los IDs asociados.";fuentes/03_Prompt_flujos_E2E.md:808
E2E-33;Persistencia y segunda sesión [B];ACC-08;No ejecutado en navegador/BD de prueba;"Sin entorno aislado confirmado; Docker local no disponible. Suites remotas mutantes excluidas.";"Preparar escenario ficticio del Prompt 3 en entorno de prueba aprobado; recorrer UI y persistencia por los IDs asociados.";fuentes/03_Prompt_flujos_E2E.md:826
E2E-34;Prospecto hasta cotización contextual [OBS];OBS-02, OBS-03, OBS-04, OBS-07;No ejecutado en navegador/BD de prueba;"Sin entorno aislado confirmado; Docker local no disponible. Suites remotas mutantes excluidas.";"Preparar escenario ficticio del Prompt 3 en entorno de prueba aprobado; recorrer UI y persistencia por los IDs asociados.";fuentes/03_Prompt_flujos_E2E.md:844
E2E-35;Solicitud distribuida a operadores [OBS];OBS-05, OBS-06, OBS-08, OBS-09, OBS-18, OBS-20;No ejecutado en navegador/BD de prueba;"Sin entorno aislado confirmado; Docker local no disponible. Suites remotas mutantes excluidas.";"Preparar escenario ficticio del Prompt 3 en entorno de prueba aprobado; recorrer UI y persistencia por los IDs asociados.";fuentes/03_Prompt_flujos_E2E.md:868
E2E-36;Órdenes como tablero y comentarios [OBS];OBS-11, OBS-15, OBS-16, OBS-17;No ejecutado en navegador/BD de prueba;"Sin entorno aislado confirmado; Docker local no disponible. Suites remotas mutantes excluidas.";"Preparar escenario ficticio del Prompt 3 en entorno de prueba aprobado; recorrer UI y persistencia por los IDs asociados.";fuentes/03_Prompt_flujos_E2E.md:892
E2E-37;Entrega parcial independiente [OBS];OBS-10, OBS-13;No ejecutado en navegador/BD de prueba;"Sin entorno aislado confirmado; Docker local no disponible. Suites remotas mutantes excluidas.";"Preparar escenario ficticio del Prompt 3 en entorno de prueba aprobado; recorrer UI y persistencia por los IDs asociados.";fuentes/03_Prompt_flujos_E2E.md:916
E2E-38;Consumo automático al finalizar [OBS];OBS-12;No ejecutado en navegador/BD de prueba;"Sin entorno aislado confirmado; Docker local no disponible. Suites remotas mutantes excluidas.";"Preparar escenario ficticio del Prompt 3 en entorno de prueba aprobado; recorrer UI y persistencia por los IDs asociados.";fuentes/03_Prompt_flujos_E2E.md:936
E2E-39;Cobro MXN/USD [OBS];OBS-22, OBS-23;No ejecutado en navegador/BD de prueba;"Sin entorno aislado confirmado; Docker local no disponible. Suites remotas mutantes excluidas.";"Preparar escenario ficticio del Prompt 3 en entorno de prueba aprobado; recorrer UI y persistencia por los IDs asociados.";fuentes/03_Prompt_flujos_E2E.md:956
E2E-40;Saldo a favor y documento de cobro [OBS];OBS-25, OBS-26;No ejecutado en navegador/BD de prueba;"Sin entorno aislado confirmado; Docker local no disponible. Suites remotas mutantes excluidas.";"Preparar escenario ficticio del Prompt 3 en entorno de prueba aprobado; recorrer UI y persistencia por los IDs asociados.";fuentes/03_Prompt_flujos_E2E.md:978
E2E-41;Rentabilidad y tarifas históricas [OBS];OBS-29, OBS-30;No ejecutado en navegador/BD de prueba;"Sin entorno aislado confirmado; Docker local no disponible. Suites remotas mutantes excluidas.";"Preparar escenario ficticio del Prompt 3 en entorno de prueba aprobado; recorrer UI y persistencia por los IDs asociados.";fuentes/03_Prompt_flujos_E2E.md:1000
